1.tf-idf _ LSI,,,,,,,
Ui Designer,,,,Software enginneer,,,
Department & Code,Title,,Credit,Department & Code,Title,,Credit
ESENG 503,None,,3,CEE 542,Soil and Site Improvement,,3
CHE 470,Colloids and Interfaces,,3,EECS 682,Special Topics in Software Systems,,3
MFG 560 (MECHENG 551),Mechanisms Design,,3,EECS 513,Flat Panel Displays,,3
SI570,Semantics-Based Knowledge Descriptions and Organization,,3,AEROSP 285,Aerospace Engineering Seminar,,1
BIOMEDE 516 (EECS 516),Medical Imaging Systems,,3,AEROSP 325,Aerodynamics,,4
SI650,Information Retrieval,,3,EECS 755,Special Topics in Signal Processing,,1
,,,,,,,
3. Word Count,,,,,,,
Ui Designer,,,,Software enginneer,,,
Department & Code,Title,,Credit,Department & Code,Title,,Credit
SI320,Graphic Design,,3,EECS 452,Digital Signal Processing Design Laboratory,,4
SI316,Designing and Analyzing Social Media Feeds,,3,EECS 282,Information Systems Design and Programming,,4
SI551,Behavior and Experience of Information Users,,3,EECS 595 (LING 541) (SI 561),Natural Language Processing,,3
SI647,Information Resources and Services,,3,EECS 549 (SI 650),Information Retrieval,,3
EECS 487,Interactive Computer Graphics,,4,BIOMEDE 458 (EECS 458),Biomedical Instrumentation and Design,,4
EECS 493,User Interface Development,,4,EECS 571,Principles of Real-Time Computing,,4
SI531,Human Interaction in Information Retrieval,,3,AEROSP 384,Introduction to Solid Modeling and CAD,,3
IOE 548,Integrated Product Development,,3,EECS 461,Embedded Control Systems,,4
SI379,History of Computers and the Internet,,4,BIOMEDE 311,Biomedical Signals and Systems,,4
SI664,Database Application Design,,3,CEE 375,"Sensors, Circuits, and Signals",,3
SI616,Advanced Topics in Graphic Design and Communication,,3,EECS 467,Autonomous Robotics,,4
SI320,Graphic Design,,3,SI364,Building Interactive Applications,,4
SI520,Graphic Design and Visual Communications,,1,AEROSP 450,Flight Software Systems,,3
EECS 425,Integrated Microsystems Laboratory,,4,SI601,Data Manipulation,,1.5
EECS 493,User Interface Development,,4,AEROSP 205,Introduction to Aerospace Engineering Systems,,3
EECS 515,Integrated Microsystems,,4,BIOMEDE 516 (EECS 516),Medical Imaging Systems,,3
SI320,Graphic Design,,3,SI561,Natural Language Processing,,3
SI520,Graphic Design and Visual Communications,,1,,,,
BIOMEDE 510,Medical Imaging Laboratory,,3,,,,
BIOMEDE 516 (EECS 516),Medical Imaging Systems,,3,,,,
