"job_title","company","location","job_summary"
"Senior Energy Consultant","Mission Energy Solutions Inc","San Diego, CA 92101","About the Company: Mission Energy Solutions is searching for a dynamic Senior Energy Consultant with strong presentation and closing skills to join our team. In this position, you will help open new markets and establish relationships that generate more sales and loyal customers. We will provide you with the training, support and excellent compensation program to help ensure you achieve in excess of six figures during your first year. Our new Multiplier Compensation Structure is changing the game putting the consultant in prime position to earn what they deserve. Come experience the Mission difference.In This Role, You Will: Develop a thorough understanding of the products and services that Mission Energy Solutions offers to our clients.Develop a network of partners who can refer you when opportunities arise.Educate prospects on what makes us different than our competitorsProspect by either telephone, live events, meetings, social media, and any other methods which result effective to help fill your pipeline.Work with senior management to set sales goals and objectives.Take prospects through the sales process, analyze needs, present solutions and close the presentation.Grab company warm-qualified leads and convert to sales.You Have: High-energy and are a positive minded person.Demonstrated ability to successfully prospect, develop and present proposals to clients.Strong understanding of strategic sales skills.Excellent verbal communication skills.Proven success in achieving and exceeding sales quota targets.Excellent organizational skills.Bilingual is a tremendous plus .Why Join Mission Energy Solutions?We are not only dedicated to helping families and businesses save money, increase home values and preserve the environment, were also committed to making a difference in peoples lives by connecting one solar panel at a time. With every solar panel placed, we support efforts to help underprivileged, at-risk, homeless and exploited youth locally and around the world.This is at the heart of why we exist and operate our business. With our mission driving us forward we believe that together, we can create better opportunities, education and valuable resources that will leave the world better than we found it. Together we can a make a difference.Compensation Plan: After the two closed deals at 8%, each consultant will be required to sell a minimum of ONE solar system per month to maintain this commission level. Our average system size is a 8.5 KW solar system at the medium commission rate. Let's take a look at what that would look like. If you, the consultant sold 2 jobs per month, at this high incentive program, you would make an average of $22,000 per month. $22,000 x 12 = $264,000. Let's say, you happen to develop systems to close 4 a month. (Some of our consultants close about 7 on average per month). 4 per month at (4 x $10,500) @ the medium is $42,000 per month or $500,000 per year.If you are interested in joining our team, please apply today for immediate consideration.Job Type: Full-timeSalary: $125,000.00 /year"
"Digital Marketing Business Strategist","Confidential - Marketing agency","Bellevue, WA","Description Looking for an experienced Integrated Business Marketing Strategist to join our growing agency. You will have experience architecting digital marketing plans that utilize the right tools at the right time, you integrate paid earned and owned and you enjoy building content marketing ecosystems that deliver the right content at the right time to the right people in order to achieve client goals. You possess a rare blend of enterprise B2C business marketing experience that spans content strategy, marketing automation, organic search, paid media, social media, analytics, web strategy, customer engagement and you also have the gravitas to inspire clients and team members alike towards your strategic vision.Key Responsibilities: Client Work:Collaborate with Client Services and SMEs to guide the strategic direction of our integrated digital effortsCollaborate with clients and our internal delivery teams to build content marketing architecture, including messaging and positioning frameworks, buyer personas, and buyer journey content mapsDevelop and implement a cross-channel integrated digital strategy that translates business and marketing goals into meaningful content deliverablesDeep subject matter expertise in organic customer traffic flow and the use of digital tools like organic sources to influence organic traffic flowsProvide feedback to internal and external contributors to ensure that content aligns to strategy and quality standardsWork with client consultants and strategists on how to reach target audiences for content amplification/native and ensure content is optimized for search engines, sharing, and distribution across channels resulting in flow and yield experiences.Research B2C content marketing and tech news/trends and be prepared to apply that knowledge across all client engagementsProduce content audits and gap analyses in framework that translates to enterprise needsDevelop automation and nurture strategies including lead scoring, KPI, and content  * Lead meetings with senior leadership and our clients, ensuring cross functional alignment on strategiesStart with a data mindset so as to ensure we can demonstrate return for effortsInternal Work:Serve as a subject matter expert by maintaining a pulse on the latest issues, developments, and trends in Mobile B2C integrated digital and content marketing strategyContribute to the health and growth of the agency through special projects, internal advisory boards, committee participation, and community involvementQualifications and Requirements: 4-year degree required4+ years of integrated marketing experience; experience with B2C marketing preferred4+ business consulting with consumer, search, market and competitive data2+ years of experience building and managing content marketing strategy (agency, technology company, or major publication experience preferred)3+ years agency experience working with tech clientsStrong experience with content distribution and amplification, including a solid understanding of social & paid mediaMastery of marketing fundamentals including segmentation, positioning, and market analysisA solid, conceptual understanding of marketing automation systems (e.g. Marketo, Eloqua, Pardot)Experience in a fast-paced environment with strict deadlinesExperience in a client-facing role; must feel comfortable presenting to and engaging with clientsForward-thinking with a passion for content marketingJob Type: Full-time"
"Project Manager, Marketing","The SpectrumCare Group","Napa, CA","The SpectrumCare Group seeks a talented project manager to help us get things done in a quickly growing, multi-faceted healthcare organization based in Napa, California.The Project Manager (PM) position will support the sales and marketing activities of multiple business lines throughout the organization, and will report to the COO of the organization, with guidance and support from the off-site Strategic Marketing Advisor. First and foremost, the PM will see all assigned projects through to completion, on time, on track, and on budget. The ideal candidate will be curious, quick, have very strong project management and organizational skills, and be a strong critical thinker, researcher, and communicator of ideas.Responsibilities include:  Defining scope, developing project plans, leading kick-off and status meetings, and ensuring all necessary communication with managers and relevant team members takes place to ensure project completion and alignment with internal goals. Developing and managing external vendor (agency, consultant, contractor) relationships, preparing SOWs, creative briefs, feedback, etc.; acting as an internal partner to find information, and solicit feedback for vendors whenever needed. Managing budgets and timelines for multiple projects of various sizes and complexity, for multiple departments simultaneously.The types of projects the PM will lead include, but aren't limited to:  Digital marketing campaigns: running and measuring the success of ad campaigns on all digital channels (see below for experience requirements). Print marketing campaigns: organizing, executing, and measuring print campaigns including direct mail, print advertisement, and more. Website development: ensuring the completion of multiple new websites and major website updates per year for new business lines and department needs. Development of new marketing materials including print flyers, posters, postcards, pamphlets, powerpoint presentations, event collateral, etc. Market research and report preparation, at the request and direction of the Marketing Advisor.Projects will be assigned by managers of internal business lines and guided by the Marketing Advisor, and will often be informed by your insights and research as requested. While you will have the support of the managers and the entire organization, we are looking for someone who can independently source the information they need to complete a project, research and read up on new subjects, ideas, and opportunities themselves, compile proofs and solicit feedback from others as needed, find, contract, and manage outside vendors, find creative solutions to roadblocks and hurdles, and push our entire team of busy professionals toward deadlines  often, many different deadlines at a time.About The SpectrumCare GroupThe SpectrumCare Group is health care organization based in the north Bay Area, specializing in the treatment of chronic conditions. We have busy two clinics, in two states, and are opening two more this year. We have an education business which designs a series of continuing medical education conferences that attract physicians from around the world, and a clinical research business that partners with national and international industry leaders to manage clinical trials here in the Bay Area. From the little town of Napa, we help drive some of the most important advances in our field  the people who succeed here are extremely curious, driven, and are excited that their work helps impact many thousands of lives.While our organization is 25 years old, we are in a new and exponential state of growth, and have an increasingly complex and multi-faceted business structure  we are opening new clinics, expanding our clinical research program, taking on new partnerships, designing new medical education conferences, and more. This means that our internal resources (especially time!) are often stretched very thin, so you'll need to help keep other busy managers and employees on track, and on time, to help fulfill all of our marketing needs, and support all of our shared goals. You'll be persistent, but pleasant, and help your colleagues find ways that work for them to keep your projects moving forward. There is ample room for growth here, and we welcome new ideas, insights, and suggestions always.Competency in the following will be helpful: MailChimp (managing campaigns, lists, and monitoring engagement metrics)WordPress (making small updates, troubleshooting, communicating with website developers)Facebook (business pages, ads, sponsored posts, engagement metrics)LinkedIn (business pages, ads, sponsored posts, engagement metrics)Adobe Suite (InDesign, Adobe Illustrator, for very small edits and updates if needed)*SalesForce (not required, but a bonus)Job Location: North Bay Area, CA (Napa)Required education: Bachelor'sRequired experience: Project Management: 3-5 yearsMarketing/Communications: 2-5 yearsHealth Care Familiarity a plus: 1-3 yearsTO APPLY:  please respond to this posting with a one-page cover letter, describing your experience managing a complex set of programs or projects, and interest in the role, and a resume including salary history.Learn more about The SpectrumCare Group and our related businesses at spectrumcaregroup.comJob Type: Full-timeRequired education:Bachelor'sRequired experience:Project Management: 3 years"
"Counter Sales Consultant","Mosaic Home Interiors","Chantilly, VA","Be in the heart of the action, and gain exposure to all areas of the home interiors business! You will never be bored in this fast-paced, engaging, people-focused role. With extensive investment in employee training and real opportunities for advancement, this is a company that is devoted to you and your future.Mosaic Tile Company is searching for a Counter Sales Associate for their Chantilly, VA location.In this multi-tasking role, you will be the crucial link between the warehouse and the interior design center. You will be directly interacting with contractors, construction personnel, warehouse workers, and designers, making sure orders are correct and fulfilled. Solve problems and challenges on a daily basis, and thrive in the team-based energetic atmosphere. This is a key role that will prep you for your future within the organization. Most of our management team started in this very position! Now is the time to start on an exciting and rewarding career path.Some of the benefits to you: Above average base salary + commission based on store sales + the potential for profit bonuses!Unbeatable benefits package  Includes Anthem health and dental insurance (50% paid by Mosaic), flex spending, paid vacation, 10 paid holidays including your birthday, short term disability, long term disability available, 401k plan, and company-paid life insuranceExtensive training  We provide comprehensive online training that will bring you up to speed on the computer system, as well as continued training on products and the industry.Advancement potential  This is your launching pad within the organization! We want every employee to have the opportunity to make a career out of working here.Reputation  Family owned company since 1972.Employee retention and tenure  10% of employees have been here over 15 years.If you have the following, then they want to hear from you: At least 2 years of experience working in retail, food service, or similar environmentA desire to work in a fast-paced atmosphereThe ability to lift 60 pounds consistentlyPrior experience within home improvement/building/distribution would be a plusRECENT GRADS WELCOME!!!Dont let this better opportunity pass by. Apply now!Job Type: Full-timeRequired experience:working in retail: 2 years"
"Infrastructure Consultant - 1-3 years of of experience","Pearl Solutions Group","Saint Peters, MO 63376","An Infrastructure Consultant is responsible for deploying and supporting server, storage, security and networking products for clients and troubleshooting issues as needed. You must have a passion for technology and a true commitment to growing your technical skill set. You will be working on the latest technologies for clients as well are support existing environments.To qualify for this position, you must desire to operate in a dynamic, growing, multi-project oriented environment and must have the ability to communicate effectively, and have the flexibility to work individually or in a team environment. This is a customer facing billable position so having a consultative personality that clients like is critical.Job ResponsibilitiesShow an understanding of Information Security best practices.Demonstrate excellent team and customer service skills.Working toward one advanced professional certifications related to chosen discipline (MCSE, MCITP, etc.).Experience with converged or hyper-converged solutions is a plus.Perform other related duties as required and assigned.Professional Qualifications: Four-year degree (or work experience equivalent) and 1-3 years of experience with a proven skill-set and experience across various Server, Storage and Networking and related technologies.Ability to understand the business needs and propose a technology solution that addresses the associated requirements.Proven ability to communicate at multiple levels of a mid-size to enterprise-level organization.Ability to work equally as effective independently or in a team environment.Assist sales and consulting team in driving new opportunities and educating clients on applicable technology solutions.Strong written and oral communication skills.Ability to shift priorities as needed and function in a highly dynamic environment.Have a strong aptitude and appetite for learning new technologies.Technical Qualifications:  The ideal candidate will demonstrate skills and applicable experience in several of the following technologies:Microsoft System CenterMicrosoft IntuneOffice 365: Exchange Online, Lync Online, OneDrive for BusinessActive Directory Federation Services (ADFS)Azure, DirSync, Azure AD Sync, or Azure ConnectExchange Server - 2007, 2010, or 2013Skype for Business (S4B)Hyper V / VM WareVDI (Microsoft or Citrix)Active Directory Domain/Federation/Certificate Services (ADDS)Windows ClusteringWindows Server 2008 and 2012What Else Would Help Me Stand Out? Show progress toward one of the following certifications.Microsoft Certified System Administrator (MCSA)Cisco Certified Network Associate (CCNA)VMWare Certified Associate (VCA)Job Type: Full-timeSalary: $45,000.00 /yearJob Location:Saint Peters, MO 63376Required education:Bachelor'sRequired experience:You must have actual technical: 1 year"
"Senior Implementation Consultant","FACTOR, a WR Hess Company","Oklahoma City, OK","Lead the implementation and training projects for full system implementations and add-on productivity modules for Factors ERP solutions for Petroleum Marketers. Work with customers accounting and operational teams to transform their business to a fully automated operation. Work with internal teams and Professional Services management to ensure timely delivery of the implementation and training for both licensed and outsourced customers.Essential Functions of the PositionLead the delivery of a quality implementation as outlined in the Statement of WorkAnalyze Customer needs and recommend new processes or modify and improve existing processesEffectively transition Customers from their current business model to Factor Standard Processes to ensure successful implementations and maximize Customers ROIDevelop and coordinate Customer specific training materials, project plans, reports, and process flow materialsDevelop Customer system testing and evaluation procedures to ensure the software functions properlyConduct On-Site and remote training programs for Customers to provide a good working knowledge of systems, introduction to system enhancements, and new applications of existing systemsServe as a subject matter expert during the course of the implementationCommunicate system support needs, assist in the development of implementation plans and follow up to ensure completion of the projects to schedule and standardsPlay a key role in identifying operational needs, changes or improvement within the new technologyMaintain an exceptional knowledge of business operations, technology development in the industry and best practicesServe as an active and constructive team memberOther duties as assignedEducation and/or Experience3+ years of experience implementing ERP systems required3 years petroleum industry experience preferredSoftware industry knowledge preferredBachelors degree in business and / or accounting preferredJob Knowledge, Skills and AbilitiesExcellent communication skills (verbal and written) to plan and accomplish goals.Strong attention to detail and organizational skills.Ability to work effectively as a part of a team as well as individually.Self-motivated with a high level of energy and drive for achievement.Proficient in Microsoft Office (Word, Excel).Must be able to communicate effectively with all levels of management.Professional and persistent manner.Job Type: Full-timeJob Location:Oklahoma City, OKRequired education:Bachelor'sRequired experience:Implementing ERP Systems: 4 years"
"Business Consultant/Business Plan Writers Needed","Sterling Rose Consulting Corp","Lawrenceville, GA","Sterling Rose Consulting Corp is an award winning full service business consulting firm located in Gwinnett County, Georgia. The Company has three divisions, business consulting, marketing consulting and technology strategy consulting.Sterling Rose Consulting Corp is looking for a Business Consultant with Business Plan writing experience to start immediately.Business Consultant Job Duties:Analyzing business practices and recommending improvementsSharing knowledge with employees within the department or in other departments and with clients as neededCreating business plans, reviewing plans, creating business proposals, creating market and business analysis, documents and presentationsLeading meetingsWriting reports on data that affect business performanceObtaining new clients and finding new business opportunitiesClosing sales and increasing business profitsHelping to grow the businessManaging teams on a project or in a relevant departmentProducing written content, proposals, and marketing materialsNetworking with clients, potential clients, and other consultantsSuggesting improvements to systems such as IT infrastructure and workflowsTravelling between different job sites and working with various business clientsDeveloping relationships with clients and employees to foster trust and understandingFostering a culture of change within the businessAssessing effectiveness of changesTracking costs and benefits of changesEstablishing the importance of regulatory and compliance measures and avoiding risk during changesInspiring productive changes in the workforce by interacting with each employeeBusiness Consultant Skills and Qualifications: Expert-Level Knowledge of Business, Communication, Teaching, Patience, Finance, Security, Management, Law, Human Resources, Marketing, Engineering, Recruitment, Networking, Writing, Reporting, Leadership, Constructive Criticism, Sales, Information Technology, Change Strategy, Supply Chain Logistics, Development, Problem-Solving5+ years of experience requiredMBA preferredBA requiredExcel, Word and Powerpoint knowledge requiredJob Type: Full-timeRequired education:Bachelor'sRequired experience:Networking: 5 yearsManagement: 1 yearConsulting: 5 yearsMarketing: 5 years"
"Epic ASAP consultant","Nordic Consulting","Oahu, HI","Nordic is looking for top quality Epic ASAP analysts and Principal Trainers with one or more Epic certifications and 2 or more years of Epic experience. Positions are available all over the United States as we have clients throughout the US. Experience as a Team Lead, Epic analyst or Connect analyst strongly desired. For Principal Training candidates, MST build is a must.RESPONSIBILITIESEpic application system buildImplementation, optimization, and maintenance projectsWeekly travelQUALIFICATIONSEpic ASAP certification2+ years Epic experienceFull cycle implementation experience preferredConnect experience desiredABOUT NORDICNordic was founded in 2010 by consultants valuing transparency, and is one of the fastest-growing privately-held companies in America. Nordic is the worlds largest Epic consulting firm and a trusted advisor to healthcare systems, providing strategy through to IT execution. Renowned for excellence, Nordic helps clients improve the health of their patients and businesses while positively shaping the future of healthcare. Nordic is proud to earn consistently elite rankings from KLAS, most recently as a top performer in 2016 Epic IT Advisory. Nordic has been recognized as one of Modern Healthcares Best Places to Work in Healthcare three years in a row (2014, 2015 and 2016) and was also named to Beckers list of 150 Great Places to Work in Healthcare in 2016.Job Type: Full-timeRequired experience:Epic: 2 years"
"Systems Engineer","Innovative Computing Systems","San Francisco, CA","Innovative Computing Systems has partnered with Indeed Hire in search of their next Systems Engineer. This is a full time-permanent (salaried) position based in San Francisco.We are seeking industry professionals who are highly skilled engineers that can understand technology and infrastructure in-depth, think outside the box and have the drive and ambition to push their career forward all while creating solid and long lasting working relationships with our clients.Our new team member will be an experienced IT Consultant/MSP Engineer who will work with a team of other Engineers to support our clients primarily in the San Francisco. This position is responsible for designing, planning, implementing and supporting a variety of technologies and systems, both in-person and remotely. They will also be mentoring and training other engineers, providing high level technical support for complex and in-depth technical issues, and consulting with clients around strategy, selection, budget and execution of projects.Mandatory requirements: At least 5 years of applicable work experience as an IT consultant, MSP or as a senior level systems engineerEssential Duties and Responsibilities: Collaborate with sales team and other engineers to design and develop technical solutions o Install and configure new hardware, software and network componentsDiagnose, analyze and troubleshoot hardware, software and network issues and situations with critical thinking skillsProvide phone, email and in-person onsite support to a wide variety of clientsMentor, coach and train other engineers o Learn and work with new technologies on a constant basisComplete tasks in a group as well as individuallyProficiency with installing, configuring and supporting the following technologies: Microsoft Windows 7/8/10Microsoft Office 2007/2010/2012/2016Microsoft Windows Server 2008/2012/2016Active DirectoryDHCPDNSInternet Information ServicesRouters, switches, firewalls, wireless networksExperience with installing, configuring and supporting the following technologies: Microsoft Exchange and Office 365VMware 5+Storage Area Networks (SANs)Workstation imaging development, deployment and supportSoftware deployment toolsAmazon web services (AWS)Microsoft AzureLine of Business applications and customizationsDocument management systems and tools.**Law firm experience and Microsoft SQL Server 2005/2008/2012 experience a plus.**Innovative Computing Systems, Inc. is an Equal Opportunity Employer and does not discriminate on the basis of race, color, religion, sex, age, national origin, disability, veteran status, sexual orientation or any other classification protected by Federal, State or local law.Job Type: Full-timeSalary: $120,000.00 /yearJob Location:San Francisco, CARequired experience:Systems Engineer: 5 yearsRequired license or certification:Authorization to work in the U.S. without sponsorship"
"Account Executive Call on College's","International Search Consultants","Seattle, WA","Worldwide publishing/information firm is seeking a solid sales professional to call on the education market. This position does cover a large geographic area. Call on professionals, educators and Department head of large college educational facilities working with professionals developing curriculum's, advising them on current products or publications or helping them put together new programs or their own publications.Get back on campuses in your area a feel the college life again.This exciting opportunity lets you be part of the University community in your market. The professional educators need to speak with you to gain tenure at the Universities. Therefore, this is a win- win situation for you as a sales professional.This is a combination of new business development as well as account or project management.The ideal candidate will have the ability to call on and sell within the educational community at all levels from department heads to administrators. Strong organizational skills are required to monitor and maintain projects. Must have an ability to consult and offer presentations is required.They are offering a solid base salary, Company car and an aggressive commission structure For the right candidate.If you meet the above criteria and would love to sell to educational facilities and be back on campus again. A recent college graduate with a couple of years of business sales experience would be ideal to grow with this organization.This company has specific requirements for a Sales Representative position:Bachelor's degree a MUST2+ Years of Business to Business (B2B), Outside SalesAbility to travel 40% of the time within territory during peak seasonMotivated by commissionAggressiveness and drive to be the best!Ability to work from a home officeExcellent Time management skillsCompetitive personality  SPORTS is a HUGE PLUS!!!55k base+ co car & expenses, travel & lucrative commission structure.If you meet these requirements and are seeking a challenging and rewarding career please submit your resume as a word attachmentSalary: $75,000.00 /yearJob Location:Seattle, WARequired education:Bachelor'sRequired experience:outside sales: 2 yearsability to travel: 1 yeartime and project management: 2 yearsRequired license or certification:Driver's License"
"Entry Level Inside Sales Representative","iMatrix, Inc.","San Diego, CA","iMatrix, an Internet Brands company, is a premier provider of turnkey websites and internet marketing services for small and medium sized practiced-based businesses. Based in San Diego, iMatrix strategically focuses on solutions for specific niche markets such as the * Chiropractic, Veterinary, Vision, Yoga and Beauty industries.SummaryLooking to connect with a company that values your individuality and rewards performance? Then we'd love to hear from you! Here at iMatrix, we are currently looking for Inside Sales -Internet Consultants to join our web marketing team. Our culture will be like no other company you've worked for-here your hard work will be rewarded! Our managers will work with you to be the very best that you can be. As an Inside Sales - Internet Consultant with our company, you will bring in new sales by calling prospective clients and educating them on the benefits of iMatrix website marketing.Essential Duties and ResponsibilitiesMaking prospecting calls to potential clients.Qualifying leads and setting second appointments for demos.Conducting in-depth needs assessments of potential clients.Providing product demos to qualified prospects.Asking for referrals from prospects and clients.Demonstrating features and providing presentations to potential clients.Quoting prices and preparing paperwork for orders.Overcoming technical and business objections of potential clientsDocumenting communications with potential customers.Attending conventions and making presentations to potential clientsQualificationsTo perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.Education and ExperienceSales Experience: 2+ years preferredRequired Skills and AbilitiesRequires excellent communication skills, and general experience with using the Internet and standard office programs-Microsoft Word, Excel, and PowerPointRelies on instructions and pre-established guidelines to perform the functions of the position.If you know your way around the internet, Facebook, Twitter, YouTube, webinars, Join.Me, Salesforce CRM, etc. this would all be a plus!Work EnvironmentThe work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.Works in an office environmentHours of operation  7:00 am  4:00 pmWe OfferHealth, Dental, and Vision BenefitsGroup life and AD&DLTDEAP401K PlanHSA optionPaid time-offPaid HolidaysBasketball  courtGame roomMonthly company sponsored eventsTo learn more about our Company Culture, go to our company web site at www.imatrix.com and click on the About us tab, iMatrix Events. iMatrix is an Equal Opportunity Employer (EOE) and takes great pride in building a diverse work environment. Qualified applicants are considered for employment without regard to age, race, religion, gender, national origin, sexual orientation, disability or veteran status.Job Type: Full-timeJob Location:San Diego, CA 92121Job Type: Full-timeJob Type: Full-timeRequired experience:Sales: 1 year"
"Outside Sales Representative","Evergreen Door & Window","Chicago, IL","Job DescriptionJoin our success! Evergreen Door & Window is seeking dynamic Sales Representatives to join our growing sales team. We have been in business for over 50 years, are accredited by the BBB with an A+ rating, and have been rated the #1 Exterior Remodeling Company in the area. Our consultants experience the highest closing rates in the industry and enjoy 30 to 40% repeat and referral business. This means great income potential for you. Our exterior remodeling includes wood, vinyl, and fiberglass windows, doors, siding, roofing and much more. This gives our representatives the unique opportunity to develop long term, repeat business with every customer they work with. If you are looking to build a strong future, join our team. The opportunities this year will be stronger than ever. Dont miss this chance for a career in the remodeling industry. We offer pre-qualified leads and tremendous earning potential ($50 to $90K first year possibilities).Job ResponsibilitiesAs an Outside Sales Representative, you will be responsible for:Run in-home sales appointments and pursue sales opportunities with our customers.Survey and develop needs and expectations of our customersBecome knowledgeable in our product offering to present options to customersNegotiate and close salesActively pursue referral business from leads and customer installationsMaintain closing ratio in line with management expectationsClear communication of all necessary information with orders to successfully execute the contractAbility to write thorough and professional looking proposals and contracts for every appointmentThe ideal Sales Representative will also have:Two or more years of sales experience (preferred)Must be commission motivated  This is an $80K+ opportunity. Guaranteed draw to start, then commissioned.Valid drivers licenseAble to pass a drug test and background checkClean and neat appearanceExcellent negotiation and closing skillsOutstanding interpersonal skillsTimeliness of appointments, follow-ups, paperworkEffective time management skillsJob Type: Full-timeSalary: $50,000.00 to $90,000.00 /yearRequired experience:sales: 2 yearsRequired license or certification:Drivers License"
"Behavioral Health Care Manager","IHA","Ann Arbor, MI","POSITION DESCRIPTION: The Behavioral Health Care Manager (BHCM) is an integral member of the Collaborative Care team that involves the patient's primary care provider, a psychiatric consultant, and, when available, other mental health providers. Essential responsibilities for this role include coordinating and supporting mental health care within the clinic and for coordinating referrals to clinically-indicated services outside the clinic. The care manager may provide evidence-based treatments or work with other mental health providers when such treatment is indicated.The Behavioral Health Care Manager will offer diagnostic assessment and symptom monitoring, and care management surrounding behavioral health. Care management involves use of psychoeducation and monitoring, provision of patient education tools, brief face-to-face interventions in primary care clinics when warranted, and collaboration with primary care clinicians to ensure appropriate support and management of mental health symptoms. The position does not include providing long-term therapy.ESSENTIAL JOB FUNCTIONS: Support and closely coordinate mental health care with the patient's primary care provider and, when appropriate, other treating mental health providers.Screen and assess patients for common mental health and substance abuse disorders.Provide patient education about common mental health and substance abuse disorders and available treatment options.Monitor patients (in person or by telephone) for changes in clinical symptoms and treatment side effects or complications.Support psychotropic medication management prescribed by PCPs, focusing on treatment adherence, side effects and other complications, and effectiveness of treatment.Provide brief interventions using evidence-based techniques such as Behavioral Activation.Provide or facilitate in-clinic or outside referrals to evidence-based psychosocial treatments (e.g, CBT, IPT) as clinically indicated.Participate in regularly scheduled (usually weekly) caseload consultation with the psychiatric consultant and communicate resulting treatment recommendations to the patient's PCP. Consultations will focus on patients new to treatment or who are not improving as expected.Facilitate patient engagement and follow-up in care.Track patient follow-up and clinical outcomes using a registry. Document in-person and telephone encounters in the registry and use the system to identify and re-engage patients.Document patient progress and treatment recommendations in the registry so they can be easily shared with PCPs, the psychiatric consultant, and other treating providers.Facilitate treatment plan changes for patients who are not improving as expected in consultation with the PCP and the psychiatric consultant. These may include changes in medications or psychosocial treatments or appropriate referrals for additional services.Facilitate referrals for clinically indicated services outside the primary care clinic (e.g., social services such as housing assistance, vocational rehabilitation, mental health specialty care, substance abuse treatment).Complete relapse prevention plan with patients who are in remission.Assumes additional responsibilities and performs work within position licensure, as required.ORGANIZATIONAL EXPECTATIONS: Creates a positive, professional, service-oriented work environment for staff, patients and family members by supporting the IHA CARES mission and core values statement.Must be able to work effectively as a member of the Behavioral Health Care team.Successfully completes IHA's ""The Customer"" training and adheres to IHA's standard of promptly providing a high level of service and respect to internal or external customers.Maintains knowledge of and complies with IHA standards, policies and procedures, including IHA's Employee Handbook .Maintains complete knowledge of office services and in the use of all relevant office equipment, computer, and manual systems.Maintains strict patient and employee confidentiality in compliance with IHA and HIPAA guidelinesServes as a role model, by demonstrating exceptional ability and willingness to take on new and additional responsibilities. Embraces new ideas and respect cultural differences.Uses resources efficiently.Responsible for ongoing professional development  maintains appropriate licensure/certification and continuing education credentials, participates in available learning opportunities.Responsible for completing additional Healthstream requirements as assigned.MEASURED BY: Performance that meets or exceeds IHA CARES Values expectation as outlined in IHA Performance Review document, relative to position.ESSENTIAL QUALIFICATIONS: EDUCATION: Master's degree in social work from a school accredited by the Council of Social Work Education is necessary, or equivalent.CREDENTIALS/LICENSURE: Valid, unrestricted license to practice clinical social work in the State of Michigan or similar relevant licensure. Valid CPR certification.MINIMUM EXPERIENCE:Prior experience with screening for common mental health and/or substance use disorders.Experience with assessment and treatment planning for common mental health and/or substance use disorders, when appropriate.Experience working with patients who have co-occurring mental health, substance abuse, and physical health problems.Experience with evidence-based counseling techniques (e.g. CBT or PST).POSITION REQUIREMENTS (ABILITIES & SKILLS): Knowledge of patient care procedures and organizational policies related to position responsibilities.Familiarity with brief, structured intervention techniques (e.g., Motivational Interviewing, Behavioral Activation)Basic knowledge of psychopharmacology for common mental health disorders.Ability to effectively engage patients in a therapeutic relationship.Proficient/knowledgeable in relevant medical terminology.Ability to perform mathematical calculations needed during the course of performing basic job duties.Proficient in operating a standard desktop and Windows-based computer system, including but not limited to, electronic medical records and other care management and/or clinical IS systems, email, e-learning, intranet, Microsoft Word and Excel, and computer navigation needed to complete the tasks of clinical care and performance reporting. Ability to use other software as required while performing the essential functions of the job.Excellent communication skills in both written and verbal forms, including proper phone etiquette. Ability to speak before groups of people.Ability to work collaboratively in a team-oriented environment; courteous and friendly demeanor.Ability to work effectively with various levels of organizational members and diverse populations including IHA staff, executive and management staff, providers, patients, family members, insurance carriers, vendors, external customers and community groups.Ability to cross-train in other areas of practice in order to achieve smooth flow of all operations.Good organizational and time management skills to effectively juggle multiple priorities and time constraints.Ability to exercise sound judgment and problem-solving skills.Ability to handle patient and organizational information in a confidential manner.Knowledge of the compliance and quality aspects of clinical care and patient privacy and best practices in medical office operations.Successful completion of IHA competency-based program within introductory and training period.MINIMUM PHYSICAL EXPECTATIONS: Physical activity that often requires keyboarding, phone work and charting.Physical activity that often requires extensive time working on a computer.Physical activity that often requires handling and lifting patients walking, standing, bending, stooping, reaching, climbing, kneeling and/or twisting.Physical activity that often requires lifting, pushing and/or pulling up to 20 pounds.Specific vision abilities required include close vision, depth perception, peripheral vision and the ability to adjust and focus.Manual dexterity sufficient to operate a keyboard, photocopier, telephone, calculator and other office equipment.Must hear and speak well enough to conduct business over the telephone or face to face for long periods of time in English.MINIMUM ENVIRONMENTAL EXPECTATIONS :This job operates in a medical facility and requires regular walking to various locations around the hospital/clinic. Employees will be working where there is patient care equipment. Hazardous materials, including bloodborne pathogens and bodily fluids are also present. Exposure to sharps, x-rays, patients' conditions and some unpleasant sights, smells and contagious diseases is possible. This position requires significant interaction with people (many of whom are scared, hurt and/or ill) which can be stressful and result in competing priorities.Job Type: Full-timeJob Location:Ann Arbor, MIRequired education:Master'sRequired experience:Clinical: 3 yearsRequired license or certification:LCSW"
