"job_title","company","location","job_summary"
"Looking for Java Developer at Baltimore, MD","Softrams LLC","Baltimore, MD","Hi ,My name is Arjun Botta and Im a Sr. Tech Recruiter with Softrams. We have an immediate opening as described below with one of our direct clients.I believe that you will find this opportunity to be exciting and if you are interested, please send me your updated resume to 5712528141Description of Work:Researching, designing, developing, and/or modifying user interfaces / applications by setting expectations and feature priorities throughout development life cycle; determining design methodologies and tool sets; completing programming using languages and software products; designing and conducting tests. * Participate in customer team meetings and discussions to understand business and technical requirements. * Apply technical expertise to recommend technical solutions by comparing advantages and disadvantages of custom development. * Compile periodic reports and interface on a daily/weekly basis with customer and client management as a prime technical contact. * Demonstrate strong oral and written communication skills, with the ability to communicate technical topics to management and non-technical audiences, as well as interface with the customer on a daily basis. * Ensure secure coding practices are adhered to in all phases of the secure development lifecycle. * Provide oversight and drive process integration, application development, and ongoing enhancement of a new and existing system. * Work with customer to implement web applications within customer environment and comply with policy requirements (e.g. section 508 web accessibility compliance). * Create required documentation such as design documents and unit test plans, and participate in code reviews and presentations. * Establish meetings to determine tasks to accomplish goals/objectives and follow-up on tasks through subsequent meetings.  * Partner with the business architects, technical architects and other technical areas to understand their needs, and to deliver quality solutions in a timely manner to meet the business needs. * Communicate effectively with various roles including architects, project managers, and other developers to solve technical issues and problems.Basic Qualifications: Minimum knowledge, skills, abilities. * Bachelors degree and 7 years of related experience, Masters degree and 5 years of related experience or 11 years of experience will satisfy degree and experience requirements.  * Candidate must have more than 3+ years experience with: o Systems Development Life Cycle (SDLC) to include all phases of web application development and maintenance o JQuery, Java, IBM Web Sphere, Git, MKS, Web Services, DB2, Junit, SQL, Maveno Web design and development for user-oriented and management information needs. * Excellent organizational, planning and time management skills * Proven ability to identify, analyze, and solve problems * Possess excellent communication and inter-personal skills.We are unable to sponsor at this time.Preferred Qualifications: Candidates with these skills will be given preferential consideration. * Prior Federal consulting experience * Experience with Section 508 web accessibility compliance  * Microsoft SQL Server * JavaScript Frame works (Node, or React)  * JAVA and/or Oracle knowledge  * Agile MethodologyArjun B, Sr. Tech Recruiter, Softrams LLCJob Type: Full-time"
"UI Software Engineer","Cyient, Inc.","Waukesha, WI","Indeed Hire is in Partnership with Cyient. Cyient is an acknowledged leader in engineering design services, design-led manufacturing, networks and operations, data transformation, and analytics. We collaborate with our clients to help them achieve more and together shape a better future. We call it Designing Tomorrow Together.Job descriptionLead offshore team (2 members offshore) and participate in development and testing of the user interface for generator product line. Interact with customer software engineering teams to understand requirements and lead offshore resources in group software engineering effort.Communication and Leadership skills is a must!Minimum experience of 2- 3 Years in Java development for Android and Linux operating systems.UI design experience in Java is a necessity; prior experience with JavaScript style sheets & graphics libraries is a plus. Cyent is looking for someone with prior project management and team leadership experience as well. Understanding of software testing and developing test plans (especially with HMI devices) is a must.Experience with WebStorm IDE is a plus.Experience developing Java web applications that adapt to the form factor of the display (phone vs. tablet vs. PC, etc.) is a plusJob Type: Full-timeJob Location:Waukesha, WIRequired education:Bachelor'sRequired experience:Angular: 3 yearsLinux: 3 yearsJava: 3 yearsAndroid: 3 yearsUI development with Javascript: 3 years"
"Full Stack Software Engineer","EarnUp","San Francisco, CA","As the Full-Stack software engineer, you will lead, manage, and inspire engineering across a range of front and back-end projects developing a next-generation platform for consumer finance management. Youll report directly to the Director of Engineering and help the team fulfill technical, operational, and business requirements by putting yourself in the trenches. Youll guide architecture and delivery of software products. The ideal candidate will have a passion for delivering great consumer software products focused on incredible customer experiences.What does the Full-Stack Engineer do?Drive an excellent customer experience, continually raising the bar on functionality, usability, and simplicityChampion engineering and operational excellence, establishing metrics and process for regular assessment and improvementEstablish a solid project framework and excellent development processes.Provide technical leadership and guidance to both your team members and your project peers.Set clear expectations and create a positive work environment based on accountability, in collaboration with the engineering and management teams.What do you need?3+ years' professional experienceHigh proficiency and technical leadership in C/C++/Java or similar languagesAbility to handle multiple competing priorities in a fast-paced environmentDeep understanding of how culture and team dynamics create exceptional teamsWhy you'll love working at EarnUpFast-paced start-up environment with great growth opportunitiesAbility to create a product from the ground upPassionate, collaborative team membersStrong company culture including weekly lunches and off-site team outingsOffice located in the heart of San FranciscoCompensation commensurate with experienceIndustry standard benefits packageJob Type: Full-time"
"Java Developer","mroads","Plano, TX","mroads is looking to hire a rockstar that articulates well for its client that is rated #2 most admired company ranked by Fortune. The candidate will be send an video interview in core java to showcase their skill.Qualifications: 5+ years of experience or a rockstar with 3 to 5 years of experience that ace's the video interview.Backend Core Java; Java/J2EE is a must haveGood understanding of concepts like Hibernate, Struts Framework, Rest  SOAPMust be experienced with Agile methodologyMust show passion, motivation to be a part of the team (culture fit)Communication is key!Job Type: Full-timeSalary: $80,000.00 to $105,000.00 /yearRequired experience:Java: 8 years"
"Software Engineer I","DiTronics Financial Services, LLC","Las Vegas, NV","DiTRONICS is a leading developer of proprietary funds access technologies, products and solutions for the gaming industry. Our long-standing partnerships with our client base has positioned us a leader within the funds access field.SUMMARY/OBJECTIVEThe DiTRONICS Software Engineer, under general supervision, is primarily responsible for the development and maintenance of internal applications needed to support our business. The Software Engineer will work with internal departs to gather requirements, identify inefficiencies of current code stack and database queries to provide and implement resolutions.ESSENTIAL JOB FUNCTIONSPerform standard software development activities which include requirements definition and analysis, product design, documentation, development and testingWorks as part of a Team of Software Developers to design and develop web-based applications using the Microsoft.NET framework and Microsoft SQL ServerProvides accurate levels of efforts (time) for each assigned projectPerforms debugging of software, identifies root causes, propose recommended resolution and then implements changesSubmits change requests, as needed, to push changes to production systemsResponsible for the development of procedures and documentation for internal applications, development efforts, and Wiki updatesOther duties as assignedEDUCATION & SKILLSBachelors Degree in Technical Field Preferred; 3  5 years of experienceExperience working in a .NET environment, specifically using, C#, ASP.NET, SQL, XML, JavaScript, AJAX, ASP, MVC, and T-SQL languages and technologiesAble to use Visual Studio within a Team Foundation Server (TFS) Centralized EnvironmentExperience with various database technologies, such as MS SQL, MongoDB, stored procedures, queries, etc.Experience with messaging systems, e.g., MSMQ, RabbitMQ, etc.Ability to think outside the box while understanding and processing information provided, especially in stressful environmentsAble to create detailed Design DocumentationExperience in cash access products including, ATM, ticket redemption kiosks and cash advance/POS solutions is a plus but not requiredREQUIREMENTSMust successfully complete all pre-employment requirementsMust successfully pass a drug test and background investigations checkMust be flexible and able to work assigned shifts, including some holidays and weekends as neededSalary DOEExcellent and competitive Benefit packageFor more information on our company, please visit our website at www.ditronics.comJob Type: Full-timeJob Location:Las Vegas, NVRequired education:Bachelor'sRequired experience:Software Engineering: 3 years"
"Flight Software Engineer","MOON EXPRESS, INC.","Cape Canaveral, FL","SUMMARYAs a member of the Advanced Technology group, the Flight Software Engineer will play a major development role in developing and implementing the software for Moon Express lunar missions including the design, coding, testing, and ultimate flight operations of both flight and ground software systems. This position is located in Cape Canaveral, Florida and reports into the Vice President, Advanced Technology.RESPONSIBILITIESDesign, develop, and implement spacecraft flight software, ground test software, and simulation softwareSupport implementation of the flight software stack from the real-time operating system up to the onboard applicationsDevelop flight software in C, C++, Matlab, and Simulink using Real Time Embedded Coder combined with other established Embedded SW development processesUnit and system test design and implementation using simulations, test and flight system HWTest and debug software in hardware-in-the-loop test beds, and on robotic platformsSupport flight system operations during ground test and actual flight missions to the lunar surfaceREQUIREMENTS2-8 years of experience in flight software, preferably with a mission that has flown in spaceBachelor of Science in Computer Science (or Aerospace Engineering with strong software development experience)Proven experience with one or more of the following required: software development for embedded systems, flight software, real-time operating systems, micro controller development, device drivers, and hardware in the loop testingExperience with Matlab/Simulink using the Real Time Embedded Coder and assembly language programming is a plusExperience designing and implementing low-level software applications in C on real time operating systemsExperience tuning priorities, execution order, and scheduling of tasks in a real time operating system environmentHighly efficient in the software debugging environment with demonstrated ability to debug applications on remote or embedded targetsHighly efficient in the Linux/Unix environment with experience scripting and automating complex proceduresStrong interpersonal skills and the ability to work in cross-functional teams with engineers in other disciplinesExcellent work ethic, resourceful and dependableFlexible self-starter who can ramp up with new technologies quickly and can adapt to a growing and evolving teamImaginative, motivated, positive, and able to work effectively under pressureGood oral and written communication skillsWillingness and ability to learn from others, and share ideas with othersAbility to work autonomously as well as part of a teamTo conform to U.S. Government space technology export regulations under ITAR and EAR, applicant must be a U.S. citizen residing in the U.S., or a lawful permanent resident of the U.S. (Green Card holder)Final candidate must pass a background investigation that may include employment verification, criminal check, education check, drug screening, credit check and/or driving record check depending on the positionJob Type: Full-timeRequired education:Bachelor'sRequired experience:flight software (with a mission that has flown in space): 2 yearssoftware development for embedded systems, flight software, real-time operating systems: 2 years"
"Software Developer","Transit Pros LLC","Lees Summit, MO","***Must be located in Kansas City, Missouri area - Position will require you to be on-site***Transit Pros is looking to grow our IT team, by adding an experienced Software Developer. This is an excellent opportunity to join a well-established, growing company located in the Lees Summit, MO area (www.transitpros.com). Transit Pros is looking to hire someone to assist the Director of IT in maintaining existing management software as well as develop exciting new products for our clients.Required Experience: Minimum 2 years of progressive programming / development experience working on software projects for client/server systemsWorking knowledge and experience with experience with Angular2 and TypeScript requiredFully versed in HTML5 and CSS3 web page designBasic understanding of relational databases (MySQL/PostgreSQL)Source control using GitPreferred Experience: Experience with consuming SOAP or RESTful web services. Experience exposing data in an API a plusExperience with AWS S3, Lambda, API GatewayExperience with Serverless frameworkCandidates should be well rounded in Internet technologies as a whole, able to work in a team environment, learn code written by other developers and meet strict deadlines. Our management system is large and complex serving in-house staff, vendors and clients which requires managing multiple tasks or projects in tandem. Daily tasks are diverse and could range from tweaking front-end GUI design, to firewall configuration, to disaster recovery, to integration of a new API. Multiple skill-sets will be challenged on a daily basis in a fast paced production environment. Innovative thinking and techniques which add to the success and efficiency of the team using our application are qualities we look for during the daily development process. In addition to development, technical staff are expected to provide support, troubleshooting and assistance to staff using our in-house management system.Benefits: A full and comprehensive benefit package is available and includes:Medical, Dental, and Vision Benefits401kPaid Time Off (Vacation, Sick, Holiday)Competitive wagesEAP ProgramVoluntary Benefits - STD, LTD, Accident, Life InsuranceCorporate Perks DiscountsJob Type: Full-timeRequired education:Bachelor'sRequired experience:Software Development: 2 years"
"Web Developer","CIM Marketing Partners","Las Vegas, NV","CIM Marketing Partners is a well-established, full-service marketing, advertising and public relations firm in Las Vegas, Nevada. With digital services touching nearly every facet of our client accounts, we are continuing to expand that department with the position of web developer. The ideal candidate for this position is a talented professional with strong end-to-end knowledge of website conception, development/buildout, implementation and troubleshooting. The web developer will be responsible for managing certain client sites, as well as building new sites. Helping our clients recognize and realize their overall business goals is a top priority at the firm, and the successful web developer candidate will possess an ability to communicate effectively internally to other team members and externally to certain clients and prospective clients. The company offers a comprehensive benefits package.Responsibilities and Duties: Develop quality websites for our clients.Collaborate with the account management, graphic design and digital teams throughout all phases of website projects.Design and develop the UI (User-Interface) layer of a variety of websites, including eCommerce, using HTML, CSS, XSLT, JavaScript, and JQuery.Create HTML and CSS files and templates based on designs from the creative team.Edit and manage web templates within our content management system.Follow coding and layout standards and workflows developed by the firm.Stay current on technical advancements and suggest ways to streamline tasks and processes for efficiency.Be a team player and a positive resource within the firm.Have a strong work ethic that reflects motivation, initiative and strong interpersonal skills.Experience and Qualifications: Bachelor's degree in computer science or equivalent work experience.Minimum 3 years experience with HTML, XSLT, JavaScript, JQuery and CSS required.Solid understanding of web design principles and experience working with others in a digital team.Experience working with the ZURB Foundation Framework or building websites based on a responsive grid system.Experience with or knowledge of Adobe Business Catalyst CMS.Knowledge of WordPress and ability to make and implement design changes to existing websites.Experience with Less or Sass CSS precompiler a plus.Knowledge and understanding of Web Analytics tools like Google Analytics.Good understanding of SEO principles and ensuring that site development will adhere to them.Good understanding of liquid markup, UX principles and REST APIs.Strong oral and written communication skills.Must excel in a fast-paced agency, interactive cross-functional team environment.Must have clear oral and written communication skills.Must be a quick learner and enjoy being a great problem solver.Should take pride in doing things the right way and exceeding client expectations.Please submit your resume with a detailed cover letter outlining why you believe you would be a good match for this position, along with your salary history and expectations.Job Type: Full-timeJob Location:Las Vegas, NVRequired education:Bachelor'sRequired experience:Web Development: 3 yearsHTML, CSS: 3 years"
"IT Programmer","Papermart","Orange County, CA","Paper Mart is a fast growing, innovative Industrial & Retail Packaging Company located in Orange. We have a brick and mortar back bone, (est. 1921) and have the largest packaging site on the web with over 26,000 items for sale. See us at http://www.papermart.com.Paper Mart is looking for a sharp individual to join the IT Department. You will be working in the IT department where you will play a key role developing new systems including but not limited to e-commerce website, mobile web applications, WMS, Sales, CRM, etc.. New systems are developed with Visual Studio 2013/2012 using ASP.net, C#, and SQL 2015/2013/2012 backendThe successful candidate will be able to develop and modify existing ASP and HTML pages, create reports using SSRS for multiple divisions in the company and develop client server applications. Ideal candidate will be proficient in C#, JavaScript, DHTML, HTML, XML, XSL, AJAX , CSS and have experience with web programming and SQL Server databases. Candidate must have good knowledge of SDLC andAgile development process and can perform at each stage. Projects include working independently and as part of a team.ExperienceVisual Studio 2013, C#, ASP.net, ADO, JavaScript, HTML, VBScript, Bootstrap, responsive web design.Mobile website design and developmentMobile app design and developmentHigh transaction ecommerce design and developmentMicrosoft SQL Server 2000,2005 , 2008, and 2012Experience writing and using T-SQL, queries, stored procedures, triggersDatabase design is a plusSql Server Reporting ServicesMicrosoft OfficeRed Prairie with MOCA, and Java programming is a plusMicrosoft Dynamics  Great Plains  Dexterity development is a plusSkillsGood communication skills.Fast learnerStrong analytical and problem solving skillThe ability to work with users with limited technical understandingSelf-motivatedEducationTechnological or computational science study or equivalent related experienceJob Type: Full-timeJob Location:Orange, CARequired experience:Programming: 2 yearsJob Type: Full-timeJob Location:Orange County, CARequired experience:Asp.Net: 2 yearsVisual Studio: 2 yearsC#: 2 yearsSQL 2015: 2 years"
"Web Developer/Programmer","Netkinetix Inc.","La Crosse, WI 54603","Netkinetix, a professional software design company in La Crosse, WI provides custom programming and consulting services to a wide range of clients. We specialize in custom business software including complex website applications, custom e-commerce websites and mobile applications. Our design services help our customers market, manage and expand their operations by giving them constant access to fast and flexible tools and resources pertinent to their businesses and operations.WHO ARE WE LOOKING FOR?People who love developing softwarePeople who can conceptualize and generate great ideas, and back it up with their codingPeople who take personal accountability for their workPeople who want to understand the customer's needs and develop applications to those needsPeople who can work both in team and individual environmentsPeople who are reliable, dedicated, ambitious and ready to work and make things happen!DUTIESWork onsite with a team of programmers in an Agile environmentCode daily with clean, effective code that meets design specifications, and is maintainableCollaborate with members of a team (Product Owners, Business Analysts, and other programmers) to ensure application requirements are metTroubleshoot and solve code problems quickly and efficientlyCommunicate effectively with team membersStay current with industry standard tools and technologiesMeet or beat deadlinesQUALIFICATIONS: Knowledge and skills in development with 4 + years of work experience using:.NETC#PHPHTML 5CSS3JavascriptJQueryMSSQL/MYSQLJob Type: Full-timeJob Location:La Crosse, WI 54603Required education:AssociateRequired experience:Web Development: 4 years"
"Deep Learning Algorithm Developer","Machine Thinking Systems, LLC","Santa Clarita, CA","We are a new company funded privately to develop, manufacture, and market products based on products for humanity with machine deep learning capabilities.We are looking for talented, experienced, and motivated engineers who want to move forward with a new technology. The right candidate will be innovative, resourceful and imaginative who desire to lead a small-team in a face-paced startup environment.The positions are based in Santa Clarita, CA. Our compensations include any combinations of the following and may fluctuate time to time: base salary, bonus, health benefits, 401(K), stock options.Responsibilities include design, implement, and produce Deep Learning based product(s) using NVIDIA supplied technologies and Google supplied technologies on image classifications, text-to-speech, and speed-to-text APIs.Requirements include a minimum of 3 years of Linux based embedded microprocessor software development experience with Bachelor's of Science degree within the last 10 years.Job Type: Full-timeRequired education:Bachelor'sRequired experience:Software Engineering: 3 yearsNVIDIA Deep Learning libraries, CUDA, DIGITS: 3 yearsGoogle on Deep Learning APIsLinux: 3 yearsRequired language:fluent EnglishJob Type: Full-timeRequired education:Bachelor'sRequired experience:NDIVIA Deep Learning: 1 year"
"MVC C# .NET Web Application Developer","YATCO.com","Coconut Creek, FL 33073","DescriptionThe YATCO MVC C# .NET Web Application Developer will work on complex ASP.NET MVC UI and some middle-tier C# development. Applicant will be joining an existing team of highly skilled and expert web application developers to design, develop and deploy the next generation of our software. You will be working with the latest development and design software as well as cutting-edge global cloud computing technology.As the Official MLS of Yachting, YATCO provides numerous sales tools through our back end YATCO PRO system and consumer lead generation through our consumer facing website YATCO.com. YATCO Pro provides qualified companies the ability to build listings online, co-broker, create digital and print brochures, research market intelligence and sold boat databases, automatically publish, and power their websites through API data feeds. Consumers can search, compare print, save, and contact professional dealers, brokers, and builders. YATCO provides valid listings only with no duplicates, outdated or bogus listings by allowing only qualified professionals to adhere to a strict ethics and policies ensuring accurate and complete data.YATCO's latest products:YATCO BOSS: https://vimeo.com/188294016/c8ce9b21dcYATCO WebPro: https://vimeo.com/148122502http://www.yatco.comRelationships InvolvedThe YATCO MVC C# Web Application Developer will report directly to the Director of Software Development and the Chief Technical Officer. Key client relationships include daily contact with the YATCO Development, Marketing and Design Teams.Skills & QualificationsMinimum 5+ years in a web applications development environment with strengths in UI/UX, C#, JavaScript, including hands-on, design, development, coding and testing experience with ASP.NET MVC, jQuery, HTML and CSS.Must be an expert with Bootstrap and Razor for ASP.NET MVC.Proficient with RESTful API servicesStrong experience with AJAX/JavaScript.Must be proficient with Microsoft Visual Studio and Team Foundation Server.Experience with Mobile/Responsive Design is a must.Requires excellent analytical, problem solving, and communications skills.Must be able to work effectively with business stakeholders and other team members to understand requirements and to implement complete business solutions for our industry.Requires minimum of a Bachelors Degree in Computer Science, Engineering or equivalent experience.Also knowledge of Photoshop CC is a plus.CompensationThis is a permanent full-time salary position, commensurate with experience, to work in our Engineering office in Coconut Creek, FL. No contractors, no remote hiring and no recruiters please. Full health benefits after 90 days, year-end bonus $ up to 10% of annual salary, paid vacations plus additional paid days off for long weekends and holiday, catered lunches and dinners plus unlimited drinks and snacks, work hard play hard type atmosphere.Job Type: Full-timeJob Location:South Florida, FLRequired education:Bachelor'sRequired experience:MVC C# .NET Web Development: 5 years"
"Application Developer","Penn Emblem Company","Philadelphia, PA","Penn Emblem Company has a great opportunity for an Application Developer to contribute, gain experience and grow with a family owned company that is celebrating its 70th year!For 70 years, Penn Emblem Company has been providing custom embroidered and screen printed emblems and patches for their national and international customers. Penn Emblem Company is a family and women owed business located in Philadelphia PA.Position Summary : The Application Developer designs, modifies, develops, writes and implements software programming applications and components; supports and/or installs developed software applications and components; works from written specifications and pre-established guidelines to perform the functions of the job and maintains documentation of process flow.Essential Duties & Responsibilities: Designs, builds, and maintains efficient, reusable, and reliable code for new Windows and Web software applications. Serves as a key technical internal resource.Maintains and enhances existing Web applications by ensuring the best possible performance, quality, and responsiveness of applications. Understands all business objectives, prepares action plans, and identifies areas for modification and improvement.Adheres to project timelines and ensures timely results against goals and established budgets.Assists with creating technical specifications and testing scripts.Performs testing of Web applications as needed  unit and systems, engaging users as necessary.Designs and implements user-driven templates, databases, and interfaces for ease of use.Develops database-driven Web interfaces for rapid, real-time information sharing.Develops external Web portals allowing users to input and retrieve accurate information.Prepares appropriate documentation to support daily tasks. Periodically as needed, reviews accuracy of Web applications and processes to ensure that data is entered efficiently.Personifies the attitude (externally and internally) the customer ALWAYS comes first when conducting daily interactions with internal and external customers, on the phone/e-mail, at the highest level of integrity and service.Maintains current and clear understanding of the companys products, services, and processes for all markets.Evaluates new application products for continued improvement of the companys web capabilities.Maintains current knowledge of, and continually evaluates, competitive products, systems and services.Regularly employs continuous improvement techniques and practices in all activities.Performs duties in compliance with Federal, state and local laws and regulations and adheres to all Penn Emblem policies and safety procedures.Performs other duties as assigned or required.Primary Outcomes: Successful and timely delivery of assigned application development tasks and projects within budget.Vendor, customer and user technical issues and questions are positively and effectively addressed in a timely manner to their satisfaction.Superior, positive relationships are developed and maintained with vendors, customers and internal company personnel.Effective coordination of projects vs. task needs vs. operational requirements is provided with teammates and the organization.Vendor, customer and user data and changes are efficiently entered into the companys ERP database when they occur.Position Requirements: Education: BA/BS in computer science, IS or a related technical field.Experience: Minimum 3 to 5 years of technical experience in developing Web applications, E-Commerce Websites and process modeling, data modeling and database design. Demonstrated effective interpersonal and organizational skills.Company Related 2+ years working for a manufacturing company preferably in theKnowledge: identification products or related field.Functional Knowledge: Knowledge of various computer applications and electronic devices. Must have good project management and organizational skills. Ability to build positive relationships and proactively develop team relationships and enhance customer satisfaction.Skills- Knowledge-Abilities: Extensive technical, analytical, and problem solving skills.Demonstrated proficiency with:VB.Net/C#.NetASP.Net, HTML, CSS, XML, JavaScriptSQL ServerVisual Studio.NetDatabase design and modelingSDLC MethodologiesDeveloping E-Commerce WebsitesMerchant services, shopping carts and catalog salesWeb Services/APIsFlash video/animation a plusStrong understanding of object-oriented programmingAbility to read old classic ASP, VB or Code written in older frameworks, to analyze and understand it, and rewrite/convert it into newer tools/ techniques/frameworks as neededFamiliarity with ERP systems, Microsoft Office, Word, Access, Excel, Outlook, etc.Strong verbal and writing skills to effectively communicate with internal and external customers through phone and email, as well as strong listening skills and the ability to ask pertinent questions.Excellent interpersonal skills, a high degree of reliability, commitment, tenacity, teamwork, creative energy to achieve success, and excellent time management skills.Ability to prepare and provide high quality and reliable deliverables while working quickly, calmly and effectively under pressure from time constraints and deadlines.Self-motivated, detail-oriented and organized.Must be flexible and possess the ability to adapt to a changing environment and schedule, and able to perform in a fast-paced, dynamic environment.Must have good research skills and effectively utilize available resources to provide resolutions to client issues and discrepancies in a timely manner.Highly ethical.Ability to maintain a high degree of confidentiality and to use discretion in dealing with sensitive information.Work requires willingness to work a flexible schedule and possible occasional overnight travel.We Offer: Competitive Salary.Excellent Benefit PackageFriendly and respectful work environment.Company dedicated to continuous improvement initiatives.If you are interested in pursuing this opportunity please submit your resume and cover letter for consideration.Job Type: Full-timeSalary: $60,000.00 to $80,000.00 /yearJob Location:Philadelphia, PA 19154Required education:Bachelor'sRequired experience:working for a manufacturing company.: 2 yearstechnical experience in developing web applications.: 3 years"
"Software Developer","101domain","Vista, CA","Indeed Hire has partnered with 101domain to identify and cultivate the right talent for their organization.Job description101domain, an established company in the web services industry, is looking for a Senior Software Developer to work on the next generation of our products and services. As a small and rapidly growing company, this position will profoundly influence the design and implementation of new offerings and will put their fingerprints on all of our core solutions. With over fifteen years of experience in the domain name industry, 101domain and its team are veterans of the internet. From the largest international corporations to start-up blogs, we make it our mission to help clients secure a custom space online. A leader in international domain registration, we offer more domain registration options than any other registrar in the world along with a portfolio of value added services such as website builders, hosting and email solutions. We are a group of nerds who take pride in what we create and are not afraid to push the envelope in what we do. 101domain is an international company with employees and offices in North County San Diego and Dublin, Ireland. The successful candidate will be a person who values challenging and innovative projects and takes pride in their work. This is a full time position based in the San Diego North County, CA USA.Local candidates preferred.Job requirements4+ years of PHP experienceSolve complex performance problems and architectural challengesBuild and document new features, create detailed specificationsWrite unit tests and acceptance testsMonitoring and management of servers and data storage solutionsMaintain and provide ongoing support of the existing PHP code baseContribute to all phases of the software development life cycleUnderstanding accessibility and security compliance used for Web Applications and APIsStrong knowledge of the common PHP and web server exploits and their solutionsUnderstanding fundamental design principles behind a scalable applicationUser authentication and authorization between multiple systems, servers, and environments - Experience implementing third-party API'sKnowledge of underlying web technologies: HTTP, HTML, XHTML, CSS and JavaScriptProficient understanding of code versioning tools, such as SVN and Git - Knowledge of MySQL Cluster (NDB)Knowledge of C++ (1 Year minimum experience)Basic Linux administrationPossess keen attention to detail and strong communication skillsExtremely detail-oriented, creative, dependable and trustworthy, with a positive attitudeAbility to work independently with little oversightGood to have:Boost & STLLinux development (gcc, gdb, valgrind, automake)BenefitsFull Medical/Dental/Vision Insurance with multiple plans to choose from401K company matchCompany paid Life Insurance and Long Term DisabilityFlexible spending plans (regular and dependent care)10 days paid vacation8 days paid HolidaysDedicated R&R areas for ping pong and video gamesPrivate meeting areas and workspacesRespect for work/life balanceFor a successful application, please submit a resume with salary requirements.Job Type: Full-timeRequired experience:PHP: 4 yearsC++: 1 year"
"SaaS Software,cloud software real time datalogger software engineer","apresys Intl Inc.","San Ramon, CA","We are developing a great innovation system based on hardware and software. most of the hardware are finished. we need software engineer and system engineer join our team.Project to developprogram multiuser account software of real time sensor data wireless uploading to cloud server and downloading by wireless iphone or PC.a system based on : sensors, wireless connection, cloud server, APP of iphone and androy phone or PC client softwareRequire1. experience of related software programming , such as SaaSfor fulltime job, the candidate must be authorized to work in US for any company. if not, we can do part time , we can do the cooperation as a project/case,Apresys International Inc Focus on Laser Rangefinder , Night Vision, Photo Binoculars , Cold Chain data logger R&D, sales and marketing in north AmerciaAdd: 2410 camino ramon STE 170, san ramon, ca 94588 www.apresys.comJob Type: Full-timeRequired education:Bachelor'sRequired experience:cloud software programing: 1 year"
"Node.js Developer","Internet Brands","Los Angeles, CA","Demandforce, an affiliate of Internet Brands, Inc. is looking for a Node.js engineer to work on systems supporting real-time daily operations for thousands of small businesses. Demandforce provides services used every day by consumers and small businesses. We are in the middle of technology overhaul to move our monolithic java/jsp architecture to micro-services and react components to enable us to deliver continuously. We already have a number of services running on Node.js using CI/CD and you will help us build new products and move existing functionality into that architecture. We believe in empowering developers to be responsible for producing high-quality code. There will be plenty of time to learn what makes you unique, but heres what we know about you already:Qualifications: - You have 3+ years of development experience within a Node.js/React.js or similar environment.- You like to develop, test, maintain, and support innovative software-as-a-service products.- You are interested in designing the scalable, reliable and secure software architecture powering Demandforces SaaS-based technology platform using a combination of Node.js and React.js.- You like to work in all phases of a rapid product development lifecycle.- You are communicative with good sense of idealism and pragmatism.- The idea of deploying continuously to a site that gets a ton of traffic is more exciting than scary.- Youre endlessly curious and thrive in an environment where youre continually learning and solving new problems.To apply, please visit: http://chp.tbe.taleo.net/chp02/ats/careers/requisition.jsp?org=CARSDIRECT&cws=1&rid=1878Check us out! www.demandforce.com www.internetbrands.comJob Type: Full-timeRequired experience:Node.js Development: 3 years"
"Web Software Development Engineer","Solution Source","Goshen, IN 46526","The Software Development Engineers role is to design, build, assess, and troubleshoot software programs and applications. This includes configuring, coding, developing, and documenting software specifications throughout the project life cycle. The Software Development Engineer will also oversee system startups in a timely and accurate fashion, and provide support to other staff where required.ResponsibilitiesCollaborate with management and team members in the development and initiation of new software programs and applications.Research, document, and implement program requirements and specifications.Consistently write, translate, and code software programs and applications according to organization specifications.Oversee the quality assurance of program logic, data integrity, and error resolution.Run and monitor performance tests on new and existing software for the purposes of correcting mistakes, isolating areas for improvement, and general debugging.Administer diagnostic analysis of test results and deliver solutions to critical areas.Interact regularly with clients and other team members to field and resolve client support cases.Develop an awareness of programming and design alternatives.Cultivate and disseminate knowledge of application development best practices.Gather statistics and Prepare and write reports on the status of the programming process for discussion with management and/or team members.Work with Application Support Specialists to, develop, and maintain user manuals and guidelines.Install software products for clients as required.Write and/or delete programming script to enhance functionality and/or appearance of company Web site and Web applications as necessary.Research emerging application development software products, languages, and standards in support of procurement and development efforts.Train, manage and provide guidance to junior software development staff.Position RequirementsFour-year college diploma or university degree in software engineering, computer science, or Information Systems and/or two years equivalent work experience.Familiarity with programming languages and development environments, such as C#, ASP.Net, MVC, XML, Javascript, Jquery, Microsoft Visual Studio.Database and operating systems experience with [Microsoft Windows, IIS, MS SQL.Hands-on software troubleshooting experience.Experience at working both independently and in a team-oriented, collaborative environment is essential.Ability to effectively prioritize and execute tasks in a high-pressure environment is crucial.Proven analytical and problem-solving abilities.Adept at conducting research into software-related issues and products.Must be able to learn, understand, and apply new technologies.Strong written and oral communication skills.Strong interpersonal skills.Customer service skills an asset.Highly logical.Highly self-motivated and directed.Keen attention to detail.Work ConditionsOccasional evening and/or weekend hours may be required.Sitting and/or standing for extended periods of time.Dexterity of hands and fingers to operate a computer keyboard, mouse, and other office equipment.Physically able to participate in training sessions, presentations, and meetings.Some travel to client sites may be required.Job Type: Full-timeJob Location:Goshen, IN 46526Required education:Bachelor's"
