department,code,title,description,credit,advised_requisite,pre_requisite
University of Michigan School of Information,SI429,Online Communities,"This course gives students a background in theory and practice surrounding online interaction environments.  For the purpose of this course, a community is defined as a group of people who sustain interaction over time.  The group may be held together by a common identity, a collective purpose, or merely by the individual utility gained from the interactions.  An online interaction environment is an electronic forum, accessed through computers or other electronic devices, in which community members can conduct some or all of their interactions. View syllabus",3,,
University of Michigan School of Information,SI110,Introduction to Information Studies,"This course will provide the foundational knowledge necessary to begin to address the key issues associated with the Information Revolution.  Issues will range from the theoretical (what is information and how do humans construct it?), to the cultural (is life on the screen a qualitatively different phenomenon from experiences with earlier distance-shrinking and knowledge-building technologies such as telephones?), to the practical (what are the basic architecture of computing networks?).  Successful completion of this ""gateway"" course will give you the conceptual tools for an initial understanding of the politics, economics, and culture of the Information Age, providing a foundation for later study in Information or any number of other disciplines.  You will be more thoughtful about thorny information issues, and more ""information literate"" than you were before. View syllabus",4,,
University of Michigan School of Information,SI379,History of Computers and the Internet,"This nontechnical course covers the development and use of computers from the ancient world to the present.  We discuss automatic, calculation from the abacus to the integrated circuit; logic machines from Boole to neural networks; and the evolution of programming languages from assemblers to Ada.  Our primary focus is the social, political, and cultural contexts of post-1939 digital computers and computer networks.  The course explores such topics as a design for a steam-powered, mechanical computer in Victorian England; how early computers cracked the Nazi Enigma cipher during the World War II; how the Cold War changed computers, and how computers shaped the Cold War; and the stories behind the internet and the World Wide Web.  The major questions that motivate this course concern ""why"" issues.  Why were computers invented?  Who wanted them, and for what purposes?  How have computers changed the shape of society and cultures -- and how did society and culture shape them?  The course is relevant to anyone interested in the history, politics, and culture of technology.",4,Junior standing. Familiarity with computer concepts helpful but not required.,
University of Michigan School of Information,SI650,Information Retrieval,"Information is everywhere. We encounter it in our everyday lives in the form of E-mail, newspapers, television, the Web, and even in conversations with each other. Information is hidden in a variety of media: text, images, sounds, videos. While casual information consumers can simply enjoy its abundance and appreciate the existence of search engines that can help them find what they want, information professionals are responsible for building the underlying technology that search engines use. Building a search engine involves a lot more than indexing some documents -- information retrieval is the study of the interaction between users and large information environments. It covers concepts such as information need, documents and queries, indexing and searching, retrieval evaluation, multimedia and hypertext search, Web search, as well as bibliographical databases. In this course, students go over some classic concepts of information retrieval and then quickly jump to the current state of the art in the field, where crawlers, spiders, and hard-of-hearing personal butlers roam. View syllabus",3,SI 502,
University of Michigan School of Information,SI370,Data Exploration,"The exploratory data analysis and visualization course aims to help students get started with their own data acquisition and exploratory analysis.  Exploratory data analysis is crucial to evaluating and designing solutions and applications, as well as understanding information needs and use.  Students in this course will learn basic concepts of information visualization and techniques of exploratory data analysis, using scripting, text parsing, structured query language, regular expressions, graphing, and clustering methods to explore data.  Students will be able to make sense of and see patterns in otherwise intractable quantities of data.  In this course students will be able to work with the Pandas package of Python and the ggplot package of R.",4,,SI 330 & STATS 250
University of Michigan School of Information,SI573,Health Informatics Program Seminar I,"This seminar provides a general orientation to the field of health informatics, establishes ""leadership"" and entrepreneurship as fundamental themes of the program, introduces students to informatics luminaries, and offers immersion into the substance of health informatics through exposure to the second year students' reports of their internship work. View syllabus",1,,
University of Michigan School of Information,SI570,Semantics-Based Knowledge Descriptions and Organization,"The course will cover the theoretical, technical, and practical foundations of using semantics as a framework for organizing, describing, providing access to, and managing (over the long term) information resources.  The course content is intentionally positioned between a LIS-oriented metadata course and technically-focused semantic or web science course.",3,,
University of Michigan School of Information,SI574,Health Informatics Program Seminar II,This course is a requirement for second year students in the Master of Health Informatics program.  It focuses on reflection and presentations associated with the internship experience.  Presentation and constructive feedback as aspects of leadership will be emphasized. View syllabus,1,SI 573/PUBHLTH 573,
University of Michigan School of Information,SI663,Entrepreneurship in the Information Industry,"Entrepreneurship has been practiced around the world for centuries. It is a mindset characterized by rick-taking, seeing problems from multiple perspectives, experimentation, learning from failure, and continually challenging oneself to produce meaningful results.

Entrepreneurs typically do not bring about change themselves. This is generally the realm of the innovators. And though they are not mutually exclusive, the focus of this course is on searching for, responding to, and exploiting changes as an opportunity - and doing it in the information industry. View syllabus",3,,
University of Michigan School of Information,SI661,Managing Health Informatics,"This course prepares students to take on management challenges faced in health informatics leadership roles within a variety of organizational settings.  Through a combination of seminar and case study work, it is a highly interactive course in which students have the opportunity to discuss real-world health informatics scenarios from a variety of perspectives in order to gain familiarity with different managerial approaches.  The course also draws on organizational and managerial theory to provide students with more generalized knowledge about how to be an effective leader.  Students build knowledge and develop skills to consider multiple dimensions of possible solutions to health informatics-related issues, arrive at decisions, and articulate the reasoning behind the approaches to their decision-making.  This course has a strong organizational orientation and is appropriate for any student preparing for a health informatics career that includes managerial responsibilities. View syllabus",3,SI 542/HMP 668/BIOINF 668,
University of Michigan School of Information,SI666,Organization of Information Resources,"Provides conceptual understanding and skills in the organization, access, and representation of information in a variety of formats. Students learn basic concepts and principles of cataloging and metadata, organization and classification, and standards that have been developed for the ways in which information is organized and described. View syllabus",3,SI 500,
University of Michigan School of Information,SI665,Online Searching and Databases,"This course focuses on searching online retrieval systems and databases.  We examine database construction, Boolean searching, file selection, search strategy development, and evaluation of search results.  We cover basic-and intermediate-levels of systems' command languages that students put into practice in weekly lab assignments.  Students learn how to choose controlled vocabulary for online searches using print and online thesauri, subject headings lists, and other controlled lists and determine when to augment it with non-controlled terms, that is, the terms that authors and other subject specialists writing in a discipline use to discuss its important concepts and ideas.  Initially we focus on the database structure and search functionality of Boolean-based retrieval systems.  Using this foundation, we transition to how retrieval works in non-Boolean systems such as web search engines and online systems that perform relevance ranking of retrievals.  In assignments and projects, students explore the database structure, functionality, and specialized features of the scholarly databases available through library gateways and brief fellow students in an oral presentation or poster session.  Search strategies are a focus throughout the semester.  If time allows, in-class discussions conclude with the status of and future trends in the online industry. View syllabus",3,SI 500,
University of Michigan School of Information,SI664,Database Application Design,"This course is an introduction to database management systems (DBMS).  It covers both theoretical and practical aspects of DBMS, including database design, use, and implementation using the database language SQL.  Some topics in physical database design are also discussed.  An essential part of the course is a programming project through which students design and develop a practical database system for library access, electronic commerce, information retrieval, or a similar application.  Students use the open-source MySQL database and the PHP scripting language for Web development throughout the course. View syllabus",3,,SI 506 or 539
University of Michigan School of Information,SI701,Doctoral Foundations Seminar,"This course will provide students with a substantial level of understanding of key topics in the interdisciplinary field of information.  This seminar will also provide students with an understanding of the culture of research.  Key components include:  Research as Occupation, Discovery and Synthesis, and Substance and Framing.",3,Doctoral student status,
University of Michigan School of Information,SI702,Seminar in Organizational Studies,"This seminar provides a forum for the discussion of research and theory about organizations and organizational processes.  In keeping with its interdisciplinary character, the seminar will consider both macro and micro-processes and their intersection.  Presentations will be made by faculty and advanced graduate students from within the university, as well as from other universities and centers for research on organizations. View syllabus",1,Doctoral Student Status,
University of Michigan School of Information,SI388,Putting the H in HCI,"Designing effective interactive systems requires understanding the needs and capabilities of users.  In this course, we'll examine human capabilities and behavior related to the design of interactive information systems.  We'll survey theories and findings from the social and biological services, with attention to how these concepts influence design for interaction. View syllabus",4,,
University of Michigan School of Information,SI791,Independent Study,,1,Permission of instructor.,
University of Michigan School of Information,SI689,Social User Experience,"This advanced course will require students to demonstrate mastery of designing, conducting, and evaluating user experience research. Students will synthesize methods from human-computer interaction with theories from social science to evaluate and redesign a technology or product. Aligned with industry best practices, students will be expected to work in a fast-paced, collaborative environment and to demonstrate independence and leadership. Students must critically assess the impact of design decisions on individuals and society, addressing issues like accessibility, diversity, safety, harassment, and other relevant social issues.",3,"SI 534, 538 and 588",SI 501 & 529 & 582 & 622
University of Michigan School of Information,SI206,Data-Oriented Programming,"Students develop their core programming and software development skills, to build competency and literacy in important areas that includes basic data structures, debugging and testing, using distributed code repositories, pattern matching, and programmatic gathering and processing of data. Applications in assignments and labs are oriented around data manipulation. View syllabus",4,,"SI106, EECS182, 183, orENGR101"
University of Michigan School of Information,SI363,Busting Myths and Pursuing Information Innovations with Mobile Apps,"Inspiration for innovation occurs often when people are passionate about changing the world.  What are the first steps to take?  How do you balance your ideas development as a lead designer in the mobile space?  Students will identify and work with target customers, and receive regular feedback from successful innovators. View syllabus",3,SI 106 or equivalent; completion of 3 Lynda online courses prior to the first day of class,
University of Michigan School of Information,SI360,Succeeding at Failing,"Behind every entrepreneurial success story lie the untold stories of numerous failures. Those with visions that were too early, too late, or unable to capitalize on a prospective opportunity for any number of reasons. For the overwhelming majority of entrepreneurs, pursuing a dream is far more likely to result in failure than success.      
 
Entrepreneurship is a mindset characterized by risk-taking, seeing problems from multiple perspectives, experimentation, and continually challenging oneself to produce meaningful results. However, it is also about learning from failure - and ultimately finding a way to succeed by overcoming the odds. 
 
Succeeding at failing is more humanistic than mechanical, it is built on lived experience more than replicable formulas, it is more art than science. It is an essential ingredient in developing an entrepreneurial mindset, and like any other
form of art, it can be taught, practiced, and experienced - and that is the objective
of this course.",3,,
University of Michigan School of Information,SI364,Building Interactive Applications,"This course is an introduction to building online interactive multi-user applications using database technology.  It covers both theoretical and practical aspects of Database Management Systems (DBMS), including data base design, use, and implementation using the database language SQL.  Some topics in physical database design are also discussed.  An essential part of the course is developing applications using both web and mobile technologies for collaboration, electronic commerce, information retrieval, or a similar application.  Students use the open-source MySQL database, HTML5, PHP, and other technologies to develop throughout the course. View syllabus",4,SI 106 (or EECS 182) and SI 206 (or SI 339),
University of Michigan School of Information,SI686,User-Generated Content,"This half-semester course analyzes the motivation and incentives for user-generated content. We use social science theories as guidance to study the current incentive structures of online Q&A, microfinance, P2P file sharing, open source, social bookmarking and health information exchange sites,
as well as potential new design features that could improve the quantity and quality of the contents.
After completing this course you will be able to:
(1) have a broad understanding of situations where it may be valuable to explicitly consider individual incentives when engineering systems;
(2) recognize the class of mechanism that would be appropriate to particular real-world settings involving user-generated content; and
(3) identify the key design considerations in adapting such mechanisms to particular online communities.",1.5,SI 563 or permission of instructor,
University of Michigan School of Information,SI565,Language and Information,"This course introduces a body of quantitative techniques for modeling and analyzing natural language and for extracting useful information from texts. The theory includes Hidden Markov Models and the noisy channel model, information theory, supervised and unsupervised machine learning, and probabilistic context-free and context-sensitive grammars. Aspects of natural language analysis include phrasal lexicon induction, part of speech assignment, entity recognition, parsing, and statistical machine translation.",3,Background in computation and probability,
University of Michigan School of Information,SI561,Natural Language Processing,"Linguistics fundamentals of natural language processing (NLP), part of speech tagging, hidden Markov models, syntax and parsing, lexical semantics, compositional semantics, word sense disambiguation, machine translation. Additional topics such as sentiment analysis, text generation, and deep learning for NLP>",3,Senior standing,
University of Michigan School of Information,SI563,Game Theory,"Simply knowing that people behave strategically is not a recipe for success, but acquiring a framework for strategic thinking is.  This course gives students the competitive edge to anticipate, formulate and analyze strategic interactions.  You will learn how to acquire and process information to act effectively in strategic situations, based on analysis of the motivations of other participants.  You will also learn how to incentivize the motivate users, collaborators and customers to further the objectives of an organization, community or society. View syllabus",3,,
University of Michigan School of Information,SI675,Digitization Cultural Heritage Materials,"Creating preservation quality digital images of cultural heritage resources (photographs, graphics, texts) is an important strategy for online access. Using a mix of lectures and intensive lab exercises, this course explores current imaging and data standards, image and text analog to digital conversion techniques, metadata models, and project management requirements. View syllabus",3,One or more of,SI 502
University of Michigan School of Information,SI482,Interaction Design Studio,"This course introduces methods and skills to design and prototype interactive systems. The course covers the design process from the initial formulation of a design problem to creation of digital prototypes. The class structure is a mix of classroom design activities, lectures, and design critiques. View syllabus",4,,
University of Michigan School of Information,SI840,Research Methods,"PhD level introduction to research design from a methods perspective.  Examines various research methods with illustrations drawn from specific studies. Includes discussion of the scientific method and research design, issues of problem selection, data collection, data analysis, and research report evaluation. View syllabus",3,Doctoral student status,
University of Michigan School of Information,SI678,Preserving Sound and Motion,"The course examines the state of standards and best practices for the digital transformation of audio, video, and motion picture media. Lab components include digitizing sound recordings and manipulating/managing files created in the digitization process. A final segment considers preservation metadata schemes, working with vended services, and managing audiovisual projects. View syllabus",3,SI 581 or permission of instructor,
University of Michigan School of Information,SI641,Instructional Practice in Information,"Students build on the foundational skills in planning for, facilitating, and evaluating learning acquired in SI 643 and other courses and deploy those skills in a practicum setting. Students partner with professional mentors in software firms, instructional technology settings, schools, libraries, and museums for real-world teaching and learning practice, gaining face-to-face and virtual experience in effective contemporary instructional practices.",3,,SEE BULLETIN - SI 641
University of Michigan School of Information,SI690,Internship/Field Experience,Selected practical experience opportunity for students who perform at least 60 hours of work in an internship approved for PEP credit.  One credit hour is granted for 60 hours of work under the supervision of an onsite mentor. View syllabus,1,Permission of instructor,
University of Michigan School of Information,SI691,Global Information Engagement Program,"In this course, student teams will leverage their emergent skills in content management and delivery, contextual inquiry, needs assessment, product ideation, consultation and a deep understanding of the complex relationships between people, information, and technology to address a context sensitive information challenge (management, access, design ICT-related) faced by participating heritage, government and NGO organizations. Student teams will work with select NGO organizations ion information projects with high positive societal impact. Preceding locating to an on-site international location in May - June, students will undertake a half term of preparatory exercises including developing an understanding of the project and culture of program, site and various pre-departure activities. This program seeks to operationalize the skills of professional master's degree students at the University of Michigan to develop sustainable information management practices that have positive societal impact. This program fulfills the internship requirement for MSI students; MHI students will need approval from MHI program leadership to determine internship fulfillment.",6,Permission of Instructor and PEP Office.,
University of Michigan School of Information,SI696,Big Data Analytics,"This mastery course will require students to demonstrate mastery of data collection, processing, analysis, retrieval, mining, visualization, and prediction. Students will synthesize methods from information retrieval, statistical data analysis, data mining, machine learning, and other big-data related fields. Students will work on semester-long projects that deal with industry-scale data sets and solve real-world problems. Aligned with best industry practices, students will be expected to work in a fast-paced, collaborative environment and to demonstrate independence and leadership. Students must be able to create and use tools to handle very large transactional, texts, network, behavioral, and/or multimedia data sets.",3,At least 2 of the following,SI 501 & 544 & 618 & 671
University of Michigan School of Information,SI694,Developing Social Computing,"The advanced course provides students in opportunity to develop and demonstrate mastery in user research, application design, and system implementation by creating novel social computing applications. This course will challenge students to build on prior coursework in human-computer interaction and programming to apply and adapt their existing skill sets to identify and solve the problems that arise in the design of a new social computing systems, including the areas of user experience, technical implementation, and stakeholder communication. It is intended for students who want to go beyond prototypes to understand the full experience of creating and launching a new system. View syllabus",3,SI 501 and 529,SEE BULLETIN - SI 694
University of Michigan School of Information,SI695,Mastery Interaction Design,"In this course, students will be working closely with municipal and civic leaders in a Michigan city in order to resolve an information problem through applied user research prototyping, system development, and implementation. Each student group will deliver a sustainable, useful, and usable information tool or service to the partner city in which they are working.",3,"SI 506, 529, 613, 618, 657, and 658",SI 501 & 582 & 588 & 622
University of Michigan School of Information,SI519,Intellectual Property and Information Law,"This course would explore related and sometimes competing legal and policy frameworks for the development and dissemination of ideas and expression in the Information Age.  The ways in which principles of free speech and expression compare and contrast with intellectual property rights will be explored as related to the advancement of knowledge and innovation, with particular focus on the impact of the Internet and new technology.  The impact of other legal considerations and values on the development and dissemination of ideas and information (such as security, privacy, local control v. national and international considerations, competition, and the protection of minors) will also be examined.  The course will draw upon the contexts of education, business, and government, with a special emphasis on the changing nature, roles and responsibilities of educational institutional in light of the so-called ""information revolution."" View syllabus",3,,
University of Michigan School of Information,SI515,Engineering Applications of Media Technology,"Algorithm design and analysis with applications in the sonic and visual arts; fundamental knowledge representation, formal reasoning, and search algorithms.  An emphasis on fundamental computational problems in the media arts and a discussion of the introductory issues in encoding and processing style.",3,,
University of Michigan School of Information,SI601,Data Manipulation,"This course aims to help students get started with their own data harvesting, processing, and aggregation.  Data analysis is crucial to evaluating and designing solutions and applications, as well as understanding user's information needs and use.  In many cases the data we need to access is distributed online among many webpages, stored in a database, or available in a large text file.  Often these data (e.g. web server logs) are too large to obtain and/or process manually.  Instead, we need an automated way of gathering the data, parsing it, and summarizing it, before we can do more advanced analysis.  In this course students will learn to use Python and its modules to accomplish these tasks in a 'quick and easy' yet useful and repeatable way.  The companion half semester course on Exploratory Data Analysis will then teach the students how to further glean insights from the data through analysis and visualization. View syllabus",1.5,,SEE BULLETIN - SI 601
