department,code,title,description,credit,advised_requisite,pre_requisite
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 413,Optimization Modeling in Health Care,<strong>,7,NA,IOE 265 and IOE 310 or equivalent.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 419,Service Operations Management,"Introduction to optimization, queueing, and spreadsheet-based simulation modeling applications in the service industries. Topics covered will include facility location modeling, short-term workforce management, long-term workforce planning, resource allocation, inventory applications in service systems, customer scheduling, call center design and vehicle routing.",3,NA,IOE 310 and IOE 316 or equivalent.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 421,Work Organizations,"Applications of organizational theory to the analysis and design of work organizations is taught through lectures, projects in real organizations, experiential exercises and case studies. Topics include: open-systems theory, organizational structure, culture and power. A change strategy: current state analysis, future state vision and strategies for organizational transformation.",3,NA,"IOE 201, 202 and Senior Standing."
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 422,Entrepreneurship,"Engineering students will explore the dynamics of turning an innovative idea into a commercial venture in an increasingly global economy. Creating a business plan originating in an international setting will: challenge students to innovate; manage risk, stress and failure; confront ethical problems; question cultural assumptions; and closely simulate the realities of life as an entrepreneur.",3,NA,Senior Standing. Not for graduate credit.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 424,Practicum in Production and Service Systems,Student teams will work with an organization on an Industrial and Operations Engineering design project with potential benefit to the organization and the students. The final report should demonstrate a mastery of the established technical communication skills. The report will be reviewed and edited to achieve this outcome.,4,NA,"Senior Standing, IOE undergraduates only. Not for graduate credit."
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 425 (MFG 426),Lean Manufacturing and Services (MFG 426),"Review of philosophies, systems, and practices utilized by world-class manufacturers and service organizations focusing on ""lean management,"" including material and information flow, in-process quality assurance, standardized work, continuous improvement, visual management and lean leadership. Practical examples and in-class exercises bring concepts to life.",7,NA,Senior Standing.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 430,Global Cultural Systems Engineering,"Selected topics of systems engineering are examined from the global cultural perspective.Topics include global cultural issues of design, marketing and communication; engineering aesthetics and ethics; individual and aggregated behavioral decision making; social networking and online communities; research and evaluation methods; applications in many systems engineering.",3,NA,IOE 333 and IOE 366 or graduate standing.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 432,Industrial Engineering Instrumentation Methods,"The characteristics and use of analog and digital instrumentation applicable to industrial engineering problems. Statistical methods for developing system specifications. Applications in physiological, human performance and production process measurements are considered.<strong>IOE 434. Human Error and Complex System Failures",3,NA,Enforced
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 432,Industrial Engineering Instrumentation Methods,"The characteristics and use of analog and digital instrumentation applicable to industrial engineering problems. Statistical methods for developing system specifications. Applications in physiological, human performance and production process measurements are considered.<strong>IOE 434. Human Error and Complex System Failures",3,NA,Enforced
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 436,Human Factors in Computer Systems,"This course discusses how to design and evaluate computer systems for ease of use. Topics to be covered include keyboards and how people type, vision and video display design, human body size and computer furniture, regulations concerning working conditions, software issues, methods for studying user performance, documentation and information systems of the future.",3,NA,IOE 333.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 437,Automotive Human Factors,"This course provides an overview of human factors and driving to help engineers design motor vehicles that are safe and easy to use and to provide basic knowledge for those interested in conducting automotive human factors/ergonomics research. The focus is on the total vehicle (all aspects of vehicle design) and for an international market. Key topics include design guidelines, crash investigation and statistics, driving performance measures, vehicle dynamics, occupant packaging and driver vision.",3,NA,Senior Standing and IOE 333/334 or Graduate Standing.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 438,Occupational Safety Management,"Survey of occupational safety management methods, theories and activities. Topics include: history of safety engineering, management, and worker compensation; collection and critical analysis of accident data; safety standards, regulations and regulatory agencies; theories of self-protective behavior and accident prevention; and analysis of safety program effectiveness.",7,NA,Enforced
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 440 (MFG 440),Operations Analysis and Management, (3 credits). ,3,NA,Enforced
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 441 (MFG 441),Production and Inventory Control,Basic models and techniques for managing inventory systems and for planning production. Topics include deterministic and probabilistic inventory models; production planning and scheduling; and introduction to factory physics.,3,NA,"IOE 310, IOE 316."
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 447 (MFG 447),Facility Planning,"Fundamentals in developing efficient layouts for single-story and multi-story production and service facilities. Manual procedures and microcomputer-based layout algorithms. Algorithms to determine the optimum location of facilities. Special considerations for multi-period, dynamic layout problems.",3,NA,"IOE 310, IOE 316."
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 449 (MFG 449),Material Handling Systems,"Review of material handling equipment used in warehousing and manufacturing. Analytic models and algorithms to design and analyze the performance of discrete-flow manual and automated storage/retrieval systems, order picking centers, automated guided vehicle systems, conveyor loops, and lean manufacturing driven milkrun systems and call systems.",3,NA,"IOE 310, IOE 316 with minimum grade of ""C-"" for enforced prerequisites or Graduate standing."
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 452 (MFG 455),Corporate Finance,"The goal of this course is to introduce a basic understanding of financial management. The course develops fundamental models of valuation and investment from first principles and applies them to problems of corporate and individual decision-making. The topics of discussion will include the net present valuation, optimal portfolio selection, risk and investment analysis, issuing securities, capital structure with debt financing and real options.",3,NA,"IOE 201, IOE 310, IOE 366."
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 453 (MFG 456),Derivative Instruments,"The main objectives of the course are first, to provide the students with a thorough understanding of the theory of pricing derivatives in the absence of arbitrage, and second, to develop the mathematical and numerical tools necessary to calculate derivative security prices. We begin by exploring the implications of the absence of static arbitrage. We study, for instance, forward and futures contracts. We proceed to develop the implications of no arbitrage in dynamic trading models: the binomial and Black-Scholes models. The theory is applied to hedging and risk management.",3,NA,"IOE 201, IOE 310, IOE 366."
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 460,Decision Analysis and Bounded Rationality,"This course provides a rigorous introduction to prescriptive decision analysis and more descriptive bounded rationality models.  The course starts from the classic axioms of rational choice and covers single-attribute and multi-attribute utility theory, decision trees, the value of information in a decision analytic context, and expert elicitation of both probabilities and utility functions.  It then introduces bounded rationality and covers some of the main classes of bounded rationality and how they can be modeled.",3,NA,"IOE 265, IOE 310 with minimum grade of ""C-"" for enforced prerequisites."
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 461,Quality Engineering Principles and Analysis,"This course provides students with the analytical and management tools necessary to solve manufacturing quality problems and implement effective quality systems. Topics include voice of the customer analysis, the Six Sigma problem solving methodology, process capability analysis, measurement system analysis, design of experiments, statistical process control, failure mode and effects analysis, quality function deployment and reliability analysis.",3,NA,IOE 366.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 463 (MFG 463),Measurement and Design of Work,"Design of lean manufacturing systems requires knowledge and skills for describing manual work, identifying value and non-value added work elements, designing efficient work equipment and methods, preventing fatigue and related worker health problems and predicting work performance.",3,NA,IOE 333 or MECHENG 395 or BIOMEDE 231 and IOE 265 or Stats 412.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 465,Design of Experiments.,"Linear models, Multi-colinarity and Robust Regression, Comparative Experiments, Randomized Blocks and Latin Squares, Factorial Designs, Confounding, Mixed Level Fractional Factorials, Random and Mixed Models, Nesting and Split Plots, Response Surface Methods, Taguchi Contributions to Experimental Design.",3,NA,IOE 366; C- or better or graduate standing.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 466 (MFG 466),Statistical Quality Control,"Quality Improvement Philosophies; Modeling Process Quality, Statistical Process Control, Control Charts for Variables and Attributes, CUSUM and EWMA, Short Production Runs, Multivariate Quality Control, Auto Correlation, Engineering Process Control, Economic Design of Charts, Fill Control, Pre-control, Adaptive Schemes, Process Capability, Specifications and Tolerances, Gage Capability Studies, Acceptance Sampling by Attributes and Variables, International Quality Standards. <strong>IOE 474. Simulation",4,NA,IOE 366 or Stats 401 or graduate standing.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 466 (MFG 466),Statistical Quality Control,"Quality Improvement Philosophies; Modeling Process Quality, Statistical Process Control, Control Charts for Variables and Attributes, CUSUM and EWMA, Short Production Runs, Multivariate Quality Control, Auto Correlation, Engineering Process Control, Economic Design of Charts, Fill Control, Pre-control, Adaptive Schemes, Process Capability, Specifications and Tolerances, Gage Capability Studies, Acceptance Sampling by Attributes and Variables, International Quality Standards. <strong>IOE 474. Simulation",4,NA,IOE 366 or Stats 401 or graduate standing.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 481,Practicum in Hospital Systems,"Student team projects in hospital systems. Projects will be offered from areas of industrial and operations engineering, including work measurement and control, systems and procedures, management, organization and information systems. Lectures will deal with the hospital setting and project methodologies. The final report should demonstrate a mastery of the established technical communication skills. The report will be reviewed and edited to achieve the outcome.",4,NA,"Senior Standing, IOE undergraduates only; Not for graduate credit."
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 490,"Undergraduate Directed Study, Research, and Special Problems","Individual or group study, design, or laboratory research in a field of interest to the student or group. Topics may be chosen from any area of industrial and operations engineering. Student(s) must register for the individual section number of the instructor/advisor.",2,NA,"permission of instructor, not for graduate credit; maximum 4 credit hours per term."
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 491,Special Topics in Industrial and Operations Engineering,Selected topics of current interest in industrial and operations engineering.,0,NA,(to be arranged)
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 499,Senior Design Projects,Selected design projects in industrial and operations engineering to be conducted for project sponsors. The final report submitted by the students should demonstrate a mastery of the established communication skills. The final project report will be reviewed to achieve this outcome.,4,NA,"senior standing, permission of advisor."
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 506 (Math 506),Stochastic Analysis for Finance,"The aim of this course is to teach the probabilistic techniques and concepts from the theory of stochastic processes required to understand the widely used financial models. In particular concepts such as martingales, stochastic integration/calculus, which are essential in computing the prices of derivative contracts, will be discussed. Pricing in complete/incomplete markets (in discrete/continuous time) will be the focus of this course as well as some exposition of the mathematical tools that will be used such as Brownian motion, Levy processes and Markov processes.",3,NA,graduate standing or permission of advisor.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 510 (Math 561) (OMS 518),Linear Programming I,Formulation of problems from the private and public sectors using the mathematical model of linear programming. Development of the simplex algorithm; duality theory and economic interpretations. Postoptimality (sensitivity) analysis application and interpretations. Introduction to transportation and assignment problems; special purpose algorithms and advanced computational techniques. Students have opportunities to formulate and solve models developed from more complex case studies and to use various computer programs.,3,NA,"Math 217, Math 417, or Math 419."
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 511 (Math 562),Continuous Optimization Methods,"Survey of continuous optimization problems. Unconstrained optimization problems: unidirectional search techniques; gradient, conjugate direction, quasi-Newton methods. Introduction to constrained optimization using techniques of unconstrained optimization through penalty transformations, augmented Lagrangians and others. Discussion of computer programs for various algorithms.",3,NA,"Math 217, Math 417 or Math 419."
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 512,Dynamic Programming,"The techniques of recursive optimization and their use in solving multistage decision problems, applications to various types of problems, including an introduction to Markov decision processes.",3,NA,"IOE 510, IOE 316."
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 513,Healthcare Operations Research: Theory and Applications,<span>This course provides an overview of the role of operations research in healthcare. It surveys and evaluates research done in this field and addresses some of the key technical issues encountered when developing healthcare operations research models. Insights will be shared about carrying out collaborative research with healthcare professionals.,3,NA,IOE 316 or IOE 515 and IOE 310 or IOE 510 and IOE366 or IOE 474 and graduate standing or permission of instructor.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 515,Stochastic Processes,"Introduction to non-measure theoretic stochastic processes. Poisson processes, renewal processes and discrete time Markov chains. Applications in queueing systems, reliability, and inventory control.",3,NA,IOE 316 or Stats 310.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 516,Stochastic Processes II,"This course emphasizes the use of Markov Chains in theory and practice. General knowledge of probability theory and stochastic processes is assumed. Applications may include equipment replacement, queueing systems and production systems. Methodologies covered include invariant measures and stationary distributions for both the discrete and continuous cases.",3,NA,IOE 515.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 518,Introduction to Integer Programming,"Introduction to optimization problems that fall within the framework of Integer Programming, and an overview of concepts and classical methods for their analysis and solution. Integer programming formulations, relaxations, duality and bounds, branch-and-bound and cutting plane algorithms, heuristic solution methods.",7,NA,IOE 510.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 522,Theories of Administration,"Provide insight into leading theories concerning the administration of research and industrial organizations. Treat the concepts needed for describing, assessing and diagnosing organizations; processes of organizational communication, motivation, and conflict management; adaptation of organization systems to the requirements of work and information technologies.",3,NA,IOE 421.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 533 (MFG 535),Human Motor Behavior and Engineering Systems,"This course is designed to provide a basic perspective of the major processes of human motor behavior. Emphasis will be placed on understanding motor control and man-(machine)-environment interaction. Information processing will be presented and linked to motor behavior. Application of theories to the design of the workplace, controls and tools will be underlined and illustrated by substantial examples.",3,NA,IOE 333 and IOE 366.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 534 (BIOMEDE 534) (MFG 534),Occupational Biomechanics,"Anatomical and physiological concepts are introduced to understand and predict human motor capabilities, with particular emphasis on the evaluation and design of manual activities in various occupations. Quantitative models are developed to explain (1) muscle strength performance; (2) cumulative and acute musculoskeletal injury; (3) physical fatigue; and (4) human motion control.",4,NA,"IOE 333, IOE 334, or IOE 433."
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 536,Cognitive Ergonomics,"Theories and concepts of human information processing are introduced to analyze human perceptual and cognitive performance in human machine information systems such as intelligent transportation and manufacturing systems. Conceptual and quantitative models, interface design techniques and research and evaluation methods are presented. Samples of on-going research are also discussed.",3,NA,IOE 333 or IOE 433.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 537,Ergonomics for Inclusive Design,"Population aging, obesity and disability prevalence has increased the profile of inclusive design as an approach to accommodating the broad spectrum of human physical, perceptual and cognitive abilities.  This course is a graduate-level study of contemporary ergonomics research methods for examining human performance variability associated with aging, disability and health-related factors and its relevance to inclusive systems engineering and design.",3,NA,Introductory course in ergonomics; introductory course in statistics; graduate standing or permission of instructor.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 539 (MFG 539),Safety Engineering Methods,"Recognition, evaluation and control of generic safety hazards (confined spaces, electricity, fire, mechanical energy, etc.) found in contemporary workplaces, using case studies from manufacturing, transportation and power generation. Students perform an interdisciplinary team project using systems safety engineering methods to redesign a work station, manufacturing process, or consumer product.",3,NA,IOE 265 or Biostat 503.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 541 (MFG 541),Inventory Analysis and Control,"Models and techniques for managing inventory systems and for planning production. Topics include single item and multi-item inventory models, production planning and control and performance evaluation of manufacturing systems.",3,NA,"IOE 310, IOE 316."
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 543 (MFG 543),Scheduling,"The problem of scheduling several tasks over time, including the topics of measures of performance, single-machine sequencing, flow shop scheduling, the job shop problem and priority dispatching. Integer programming, dynamic programming and heuristic approaches to various problems are presented.",3,NA,"IOE 316, IOE 310."
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 545 (MFG 545),Queueing Networks,"Introduction to queueing networks. Topics include product and non-product form networks, exact results and approximations, queueing networks with blocking and polling systems. Applications from manufacturing and service industries are given as examples.",3,NA,IOE 515 or EECS 501.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 547 (MFG 547),Supply Chain Facilities,"A global supply network consists of ""arcs"" (transportation) and ""nodes"" (facilities) such as container terminals, crossdocks, distribution centers, consolidation centers, railway yards, and airfreight terminals.  In this course we cover the basic functions and configuration of the above facilities, and we develop analytic design and performance evaluation models for them.",3,NA,"IOE 265 or equivalent, IOE 310 or equivalent with minimum grade of ""C-"" for enforced prerequisites or Graduate standing."
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 548,Integrated Product Development,"This is a Tauber Institute-sponsored graduate elective. Students form teams of four/five, each with mixed disciplinary backgrounds spanning business, engineering and art/architecture. A product category is announced, and each team acts as an independent firm competing in that product market against other teams while working independently through an integrated exercise of market research, product design, product development and manufacture, pricing, demand forecasting and inventory control. Market share of each team is determined through both a web-based competition and a physical trade show.",3,NA,Graduate Standing; Permission of Tauber Institute. I
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 549 (MFG 549),Plant Flow Systems,"Analytical models for the design and throughput performance evaluation of material handling systems used in discrete parts flow production facilities. Analysis of design and control issues for manual and automated handling systems including lift trucks, micro-load automatic storage/retrieval systems and automated guided vehicle systems.",3,NA,"IOE 310, IOE 416."
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 551,"Benchmarking, Productivity Analysis and Performance Measurement","Introduction to quality engineering techniques commonly used for performance measurement, productivity analysis, and identification of best practice. Topics include balanced scorecard, activity-based costing/management, benchmarking, quality function deployment and data envelopment analysis (DEA). Significant focus of the course is on the application of DEA for identification of best practice.",3,NA,IOE 510.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 552,Financial Engineering I,"Theory and applications of financial engineering. Designing, structuring and pricing financial engineering products (including options, futures, swaps and other derivative securities) and their applications to financial and investment risk management. Mathematical methodology that forms the basis of financial engineering, applied stochastic processes and numerical methods in particular.",3,NA,IOE 453 or Math 423 or Fin 580 or Fin 618 or Fin 855. Minimum grade required for enforced prerequisites is C-.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 553,Financial Engineering II,"Advanced issues in financial engineering: stochastic interest rate modeling and fixed income markets, derivative trading and arbitrage, international finance, risk management methodologies including Value-at-Risk and credit risk. Multivariate stochastic calculus methodology in finance: multivariate Itoís lemma, Itoís stochastic integrals, the Feynman-Kac theorem and Girsanovís theorem.",3,NA,IOE 552 or Math 542. Minimum grade required for enforced prerequisites is C-.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 562 (Stats 535),Reliability,"Reliability concepts and methodology for modeling, assessing and improving product reliability: common models for component and system reliability; analysis of field and warranty data; component reliability inference; repairable systems; accelerated stress testing for reliability assessment; reliability improvement through experimental design.",3,NA,IOE 316 and IOE 366 or Stats 425 and Stats 426.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 565 (MECHENG 563) (MFG 561),"Time Series Modeling, Analysis, Forecasting","Time series modeling, analysis, forecasting and control, identifying parametric time series, autovariance, spectra, Green's function, trend and seasonality. Examples from manufacturing, quality control, ergonomics, inventory and management.",3,NA,IOE 366 or MECHENG 401.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 568,Statistical Learning & Applications in Quality Engineering,"Statistical learning and data transformation methods to advance quality control techniques for variation reduction. Focus on feature extraction of waveform signals, change point detection for system monitoring, data pattern recognition for fault diagnosis and Bayes/reinforcement learning for decision making.",3,NA,IOE 466 or STATS 500.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 570 (Stats 570),Experimental Design,"Basic design principles, review of analysis of variance, block designs, two-level and three-level factorial and fractional factorial experiments, designs with complex aliasing, data analysis techniques and case studies, basic response surface methodology, variation reduction and introductory robust parameter designs. <strong>IOE 574. Simulation Analysis",3,NA,Stats 500 or background in regression
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 570 (Stats 570),Experimental Design,"Basic design principles, review of analysis of variance, block designs, two-level and three-level factorial and fractional factorial experiments, designs with complex aliasing, data analysis techniques and case studies, basic response surface methodology, variation reduction and introductory robust parameter designs. <strong>IOE 574. Simulation Analysis",3,NA,Stats 500 or background in regression
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 583 (MECHENG 583) (MFG 583) (EECS 566),Scientific Basis for Reconfigurable Manufacturing,"Principles of reconfigurable manufacturing systems (RMS). Students will be introduced to fundamental theories applicable to RMS synthesis and analysis. Concepts of customization, integrability, modularity, diagnosability and convertibility. Reconfiguration design theory, life-cycle economics, open-architecture principles, controller configuration, system reliability, multi-sensor monitoring and stream of variations. Term projects.",3,NA,Graduate Standing or permission of instructor.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 588 (MECHENG 588) (MFG 588),Assembly Modeling for Design and Manufacturing,Assembly on product and process. Assembly representation. Assembly sequence. Datum flow chain. Geometric Dimensioning &amp; Tolerancing. Tolerance analysis. Tolerance synthesis. Robust design. Fixturing. Joint design and joining methods. Stream of variation. Auto body assembly case studies.,3,NA,MECHENG 381 and MECHENG 401 or equivalent.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 590,"Masters Directed Study, Research, and Special Problems","Individual or group study, design or laboratory research in a field of interest to the student or group. Topics may be chosen from any area of industrial and operations engineering. Student(s) must register for the section number of the instructor/advisor. Maximum of six credits of IOE 590/593 may be counted toward the IOE Masters Degree.",2,NA,Graduate standing and permission of instructor.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 591,Special Topics,Selected topics of current interest in industrial and operations engineering.,0,NA,permission of instructor.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 593,Ergonomics Professional Project,"Students work as part of a team within a production or service organization on a design project that emphasizes the application of ergonomic principles to enhance the safety, productivity, and/or quality aspects of a human-machine system. Student(s) must register for the section number of the instructor/advisor. A maximum of six credits of IOE 590/593 may be counted toward the IOE Masters Degree.",2,NA,"Graduate Standing, permission of instructor."
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 600 (EECS 600),Function Space Methods in System Theory,"Introduction to the description and analysis of systems using function analytic methods. Metric spaces, normed linear spaces, Hilbert spaces, resolution spaces. Emphasis on using these concepts in systems problems.",3,NA,EECS 400 or Math 419.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 610 (Math 660),Linear Programming II,"Primal-dual algorithm. Resolution of degeneracy, upper bounding. Variants of simplex method. Geometry of the simplex method, application of adjacent vertex methods in non-linear programs, fractional linear programming. Decomposition principle, generalized linear programs. Linear programming under uncertainty. Ranking algorithms, fixed charge problem. Integer programming. Combinatorial problems.",3,NA,IOE 510
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 611 (Math 663),Nonlinear Programming,"Modeling, theorems of alternatives, convex sets, convex and generalized convex functions, convex inequality systems, necessary and sufficient optimality conditions, duality theory, algorithms for quadratic programming, linear complementary problems and fixed point computing. Methods of direct search, Newton and Quasi-Newton, gradient projection, feasible direction, reduced gradient; solution methods for nonlinear equations.",3,NA,IOE 510
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 612,Network Flows,"Flow problems on networks. Maximum flow minimum cut theorem. Labeling algorithms. Circulation and feasibility theorems. Sensitivity analysis. Incidence matrices. Shortest routes. Minimum cost flows, out-of-kilter algorithm. Critical path networks, project cost curves. Multi-commodity flow problem, biflows. Matching problems in graph theory.",3,NA,IOE 510
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 614,Integer Programming,"Modeling with integer variables, total unimodularity, cutting plane approaches, branch-and-bound methods, Lagrangian relaxation, Bender's decomposition, the knapsack and other special problems.",3,NA,IOE 510
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 615,Advanced Stochastic Processes,"Designed for students planning to do research on stochastic models in operations research (e.g., queueing systems, stochastic scheduling, financial models, simulation, etc.) Topics covered include Martingales, Brownian motion, diffusion processes, limit theorems, and coupling.",3,NA,IOE 515 and Math 451.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 616,Queueing Theory,"Theoretical foundations, models and techniques of queueing theory. Rigorous treatment of elementary through advanced queueing systems and queueing networks. Topics include Markov Renewal and Semi-Regenerative Processes.",3,NA,IOE 515.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 623 (Math 623),Computational Finance,"This is a course in computational methods in finance and financial modeling. Particular emphasis will be put on interest rate models and interest rate derivatives. The specific topics include: Black-Scholes theory, no arbitrage and complete markets theory, term structure models: Hull and White models and Heath Jarrow Morton models, the stochastic differential equations and martingale approach: multinomial tree and Monte Carlo methods, the partial differential equations approach: finite difference methods.",3,NA,Math 316 and Math 425/525 or IOE 552.
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 635 (BIOMEDE 635),Laboratory in Biomechanics and Physiology of Work,This laboratory is offered in conjunction with the Occupational Biomechanics lecture course (IOE 534) to enable students to examine experimentally (1) musculoskeletal reactions to volitional acts; (2) the use of electromyography (EMGs) to evaluate muscle function and fatigue; (3) biomechanical models; (4) motion analysis system; and (5) musculoskeletal reactions to vibrations.,5,NA,IOE 534
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 640,Mathematical Modeling of Operational Systems,"The art and science of developing, using and explicating mathematical models, presented in a studio/workshop environment. Structuring of a variety of operational ""situations"" so they can be reasonably represented by a mathematical model. Extensive class discussion and out-of-class investigation of potential mathematical approaches to each situation. Incorporation of data analysis.",3,NA,"IOE 510, IOE 515."
Industrial and Operations Engineering Courses | Michigan Engineering,IOE 641,Supply Chain Management,"Structural analyses of production and inventory systems. Review of issues in supply chain management. Topics include inventory systems with stochastic lead time, multi-echelon supply systems, and coordination of material flows, information flows and financial flows in a supply chain.",3,NA,"IOE 510, IOE 515 and IOE 541."
